Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Northwood Home Care (In-Home Support Services),Northwood,"Northwood maintains a large roster of screened, trained home support workers and respite staff, matching families with caregivers based on availability and needs. Their coordinated scheduling and vetted personnel enable reliable in-home respite and care during evenings, overnights, and weekends, helping families secure support outside standard hours.",Childcare scarcity and family support gaps,"Shared Caregiver Network & Registry: A community-maintained directory of vetted caregivers, babysitters, and respite workers (including background-check facilitation and references) so families can quickly find reliable help for non-standard hours.",Systemic Exclusion and Weak Sense of Belonging,"2615 Northwood Terrace, Halifax, NS B3K 3S5",https://northwood.care,info@northwood.care,44.6573421,-63.5919903
Development Industry Liaison Group (DILG),Halifax Regional Municipality – Planning & Development,"Halifax Regional Municipality’s DILG is a standing working group that brings municipal planning, engineering, and building officials together with development and community representatives to identify bottlenecks in the approvals pipeline and co-design process improvements. Through issue-tracking, shared checklists, and targeted pilots for items like minor variances and accessory units, the group streamlines routine permit steps, offers peer-to-peer guidance for applicants, and advocates for ...",Housing affordability and supply constraints,"Local Approvals Task Force: Form a community–municipal working group to identify common planning barriers, streamline minor permit processes, provide peer support for applicants and advocate faster local approvals.",Systemic Exclusion and Weak Sense of Belonging,"5251 Duke Street, 3rd Floor (Duke Tower), Halifax, NS B3J 1A7",https://www.halifax.ca/business/planning-development,contactus@halifax.ca,44.648618,-63.5859487
Pre-Application and Development Review (One-Window Coordination),Cape Breton Regional Municipality – Planning & Development,"CBRM’s Planning & Development team convenes pre-application meetings with planning, engineering, fire, and building officials to identify issues early and set clear submission requirements, reducing rework and delays. This coordinated, one-window review approach streamlines minor permits (e.g., home occupations, signage, accessory structures) and provides applicants with direct staff support, leading to quicker, more predictable local approvals.",Housing affordability and supply constraints,"Local Approvals Task Force: Form a community–municipal working group to identify common planning barriers, streamline minor permit processes, provide peer support for applicants and advocate faster local approvals.",Systemic Exclusion and Weak Sense of Belonging,"320 Esplanade, Sydney, NS B1P 7B9",https://www.cbrm.ns.ca,planning@cbrm.ns.ca,46.1371609,-60.1960651
Learner Housing Program (Clinical Placements),Nova Scotia Health,"Nova Scotia Health provides free or subsidized short‑term housing in communities across the province for health‑profession students completing clinical placements away from home. The program helps learners accept placements with regional hospitals and clinics by reducing travel and accommodation barriers, and may also offer travel support or mileage reimbursement tied to placement requirements.",Skills mismatch and weak work-integrated learning,"Transport & Housing Supports for Placements: Local governments and community organizations provide targeted supports (transit passes, short-term housing or host-family stipends) to remove logistic barriers that prevent students and apprentices from taking up placements in nearby towns or regional employers.",Systemic Exclusion and Weak Sense of Belonging,"7001 Mumford Road, Suite 300, Halifax, NS B3L 2H8",https://www.nshealth.ca,learners@nshealth.ca,44.6492774,-63.6185599
Find Services (Nova Scotia Health Service and Facility Directory),Nova Scotia Health,"Nova Scotia Health’s Find Services directory is a province-wide, searchable listing of health services and facilities, including primary care clinics, urgent treatment centres, emergency departments, and mental health and addictions services. Each entry provides service descriptions, access steps (walk-in, referral, self-referral), hours, locations, and contacts, helping people identify the right local option and how to use it.",Health and mental health access gaps,"Community Digital Resource Directory: Maintain an up-to-date, searchable online and print directory of local primary care providers, youth mental health services, crisis lines, peer supports, and how to access them (including languages and eligibility).",Systemic Exclusion and Weak Sense of Belonging,"1276 South Park Street, Halifax, NS B3H 2Y9",https://www.nshealth.ca,,44.6379204,-63.5800467
Club Development and Governance Workshops,Sport Nova Scotia,"Sport Nova Scotia provides training and advisory support to community sport clubs on board governance, volunteer management, and succession planning. Workshops and templates help clubs document executive roles, adopt co-coach or co-chair models, and build onboarding plans so new and younger volunteers can step into leadership without service gaps.",Rural service erosion and community capacity constraints,"Succession Planning for Community Organizations: Encourage clubs and nonprofits to document roles, create co-lead positions, and train successors to avoid service gaps when volunteers retire and to welcome younger leaders into governance.",Systemic Exclusion and Weak Sense of Belonging,"5516 Spring Garden Road, 4th Floor, Halifax, NS B3J 1G6",https://www.sportnovascotia.ca,info@sportnovascotia.ca,44.648618,-63.5859487
IWK Mental Health & Addictions Program,IWK Health,"IWK provides hospital- and community-based mental health and addictions care for children, youth, and families across Nova Scotia. In collaboration with Dalhousie University and affiliated post-secondary programs, IWK places clinical psychology residents and social work students within supervised interdisciplinary teams at its clinics, expanding youth-focused counselling and assessment while offering high-quality training.",Health and mental health access gaps,"Partnerships with Post-secondary Health Programs: Partner with regional universities, colleges and training programs to place nurse practitioner, social work and psychology students in supervised community clinics to expand access while offering learning opportunities.",Systemic Exclusion and Weak Sense of Belonging,"5850 University Avenue, Halifax, NS B3K 6R8",https://iwkhealth.ca,,44.6376114,-63.582874
Sydney Pallet Shelter Community,Ally Centre of Cape Breton,"In partnership with the Province, the Ally Centre of Cape Breton supports a Pallet shelter community in Sydney that provides modular, quickly assembled cabins as short-term bridge housing. Residents access on-site services, harm reduction, and housing navigation while permanent housing options are arranged. The approach creates immediate, pop-up capacity using modular units to address acute housing shortages in Cape Breton.",Housing affordability and supply constraints,"Temporary Pop-up and Transitional Units: Use community spaces, modular units or converted shipping containers to create short-term transitional housing while permanent supply is planned and delivered.",Systemic Exclusion and Weak Sense of Belonging,"75 Prince Street, Sydney, NS B1P 5J5",https://www.allycentreofcapebreton.com,admin@allycentreofcapebreton.com,46.1383945,-60.1933187
Secondary & Backyard Suites Information and Permitting,Town of Bridgewater,"The Town of Bridgewater supports homeowners in creating secondary/basement and backyard (garden) suites by publishing how-to information, application checklists, and clear design and zoning standards. Through planning counter support and community outreach, the town helps residents navigate approvals and address neighbor concerns, accelerating small-scale, rental-producing housing additions on existing properties.",Housing affordability and supply constraints,"Accessory Dwelling Unit (ADU) Support Program: Create community-led toolkits, model plans and neighbor outreach to encourage homeowners to add basement suites or garden suites, increasing gentle density and rental options.",Systemic Exclusion and Weak Sense of Belonging,"60 Pleasant Street, Bridgewater, NS B4V 3X9",https://www.bridgewater.ca,info@bridgewater.ca,44.3755744,-64.5223664
Bridgewater Sleeping Cabin Village,Town of Bridgewater,"The Town of Bridgewater has supported a managed sleeping-cabin village on town property as part of its homelessness response, providing a cluster of small, insulated cabins with shared washroom/shower facilities and coordinated on-site supports through a community partner. By enabling a tiny-home micro-village on public land and streamlining servicing and oversight, the initiative quickly adds deeply affordable units with strong local management.",Housing affordability and supply constraints,"Tiny Home and Micro-Village Projects: Develop community-supported tiny-home clusters on municipally or donor-owned land as affordable, fast-to-build options with shared amenities and strong local management.",Systemic Exclusion and Weak Sense of Belonging,"60 Pleasant Street, Bridgewater, NS B4V 3X9",https://www.bridgewater.ca,info@bridgewater.ca,44.3755744,-64.5223664
Municipality of East Hants Student and Co-op Employment Program,Municipality of East Hants,"The Municipality of East Hants offers paid co-op and internship roles across departments such as Planning & Development, Public Works, and Finance in partnership with university and NSCC co-op offices. Students complete defined work terms with mentorship and applied projects that align with academic outcomes, and successful participants are considered for seasonal or permanent roles. This creates a clear pathway from education to local municipal careers, keeping skilled graduates in the region.",Post-secondary sustainability and research capacity limits,"Municipal internship and co-op partnerships: Municipalities and local employers coordinate to offer paid internships and co-op placements with clear pathways to employment, giving students practical experience and keeping talent in the region.",Systemic Exclusion and Weak Sense of Belonging,"230 Highway 214, Elmsdale, NS B2S 3K5",https://www.easthants.ca,,44.9737768,-63.5069313
Affordable Housing Strategy & Working Group,Municipality of the District of Lunenburg,"MODL’s Affordable Housing Strategy and cross‑departmental working group coordinate residents, non‑profits, and employers to pilot options like secondary suites, small‑lot/cluster housing, and infill starter units across Lunenburg County. The municipality supports neighbourhood task teams with planning tools, by‑law updates, and partnerships (including with Habitat for Humanity) to bring attainable homes to market for local and returning workers. These initiatives create community‑led pathways...",Youth outmigration and insufficient return pathways,"Local Housing Solutions Task Group: Form a neighbourhood task group to pilot affordable housing options for young workers and returners — e.g., co‑housing, rent-to-own schemes, and time-limited starter units using community land trusts or partnerships.",Systemic Exclusion and Weak Sense of Belonging,"210 Aberdeen Road, Bridgewater, NS B4V 4G8",https://www.modl.ca,info@modl.ca,44.3849399,-64.5127618
YREACH (YMCA Reaching Out Across Communities),YMCA of Greater Halifax/Dartmouth,"YREACH provides pre- and post-arrival settlement support across Nova Scotia, including personalized orientation, relocation checklists, and referrals for housing, childcare, schooling, health care, and community services. Through its regional network, staff and volunteers act as local concierges—connecting newcomers and returnees to employers, community groups, and events to build social ties and highlight local lifestyle advantages.",Perception and branding of opportunity in Nova Scotia,"Return-to-Nova-Scotia welcome packs and concierge: Offer a community-curated welcome package for returnees with relocation checklists, housing leads, childcare and schooling info, employer contacts, and a volunteer concierge buddy to ease transition and showcase lifestyle benefits.",Systemic Exclusion and Weak Sense of Belonging,"5640 Sackville Street, Halifax, NS B3J 3Y3",https://ymcahfx.ca/programs/yreach,yreach@halifax.ymca.ca,44.6444187,-63.5803731
Cape Breton Healthcare Recruitment and Community Navigator,Cape Breton Partnership,"The Cape Breton Partnership’s healthcare recruitment initiative supports the attraction and retention of family physicians, nurse practitioners, and allied health professionals by providing a dedicated community navigator who assists with housing searches, school placements, spousal employment, and settlement. Working with local municipalities, businesses, and Nova Scotia Health, they organize welcome packages, community introductions, and mentorship connections to ensure providers and their ...",Health and mental health access gaps,"Local Provider Recruitment and Retention Campaigns: Local businesses, municipalities and community groups coordinate sign-on bonuses, housing supports, mentorship, and community welcome packages to attract and retain family physicians, nurse practitioners and counsellors.",Systemic Exclusion and Weak Sense of Belonging,"275 Charlotte Street, Suite 204, Sydney, NS B1P 1C6",https://capebretonpartnership.com,info@capebretonpartnership.com,46.1389039,-60.1948084
New Dawn Community Economic Development Investment Fund (CEDIF),New Dawn Enterprises,"New Dawn’s provincially registered CEDIF raises RRSP/TFSA-eligible capital from Nova Scotians, allowing local residents to invest directly in community development. New Dawn channels this community investment into local ventures and community real estate, including the development and preservation of affordable and supportive housing units in Cape Breton, thereby expanding housing supply while returning financial and social benefits to local investors.",Housing affordability and supply constraints,"Local Impact Investment & Crowdfunding: Establish community investment vehicles or crowdfunding campaigns to finance affordable housing projects, offering local residents a way to invest in and benefit from supply increases.",Systemic Exclusion and Weak Sense of Belonging,"170 George Street, Sydney, NS B1P 1J3",https://newdawn.ca,info@newdawn.ca,46.1434098,-60.1963358
Housing for All Cape Breton,New Dawn Enterprises,"Housing for All Cape Breton is a New Dawn–led initiative that brings residents, community groups, and builders together in working sessions and public forums to push for municipal land-use changes in CBRM that allow gentle density (duplexes, triplexes, and ADUs) and streamline approvals. The coalition prepares recommendations and submissions to Council and planning staff and mobilizes citizen voices to support inclusionary and diverse-housing policies across serviced neighbourhoods.",Housing affordability and supply constraints,"Local Zoning and Policy Advocacy Collective: Form resident-led working groups to advocate for zoning reforms (allowing gentle density, duplexes, triplexes, and ADUs), faster approvals, and inclusionary policies that support diverse housing types.",Systemic Exclusion and Weak Sense of Belonging,"37 Nepean Street, Sydney, NS B1P 1N7",https://newdawn.ca,info@newdawn.ca,46.1431613,-60.1966931
CBCCD Gallery Shop & Online Store,Cape Breton Centre for Craft & Design,"The Cape Breton Centre for Craft & Design runs a curated Gallery Shop and online store that sell work from Cape Breton artisans, alongside seasonal markets and exhibitions that provide recurring, local sales opportunities. Through its business training (e.g., Craft Business Skills for Success) and digital marketing workshops, CBCCD equips artists with the skills to list services, improve online sales, and reach customers beyond the island while anchoring earnings in the local economy.","Fragile arts, culture, and creative sector","Local Arts Marketplace and Online Platform: A community-managed website and periodic market that helps artists sell work, book gigs, and list services, combined with digital training to expand markets beyond the region while keeping revenue local.",Systemic Exclusion and Weak Sense of Belonging,"322 Charlotte Street, Sydney, NS B1P 1C8",https://www.capebretoncraft.com,info@capebretoncraft.com,46.1379353,-60.1949412
Alistair MacLeod Mentorship Program,Writers’ Federation of Nova Scotia,"The Writers’ Federation of Nova Scotia matches emerging writers with established authors for an intensive multi-month, one-on-one mentorship focused on craft development, industry knowledge, and professional practices. Mentors are paid honoraria and participants receive structured milestones and a final public reading, creating a clear ladder from emerging to professional and building networks that keep literary talent thriving in Nova Scotia.","Fragile arts, culture, and creative sector","Artist Mentorship and Apprenticeship Network: A community-run directory and matching program where established local artists mentor emerging creators and offer paid apprenticeships, creating clearer career ladders and hands-on skill building.",Systemic Exclusion and Weak Sense of Belonging,"1113 Marginal Road, Halifax, NS B3H 4P7",https://writers.ns.ca,info@writers.ns.ca,44.6393248,-63.5661532
Professional Development Workshops (Business of Writing),Writers’ Federation of Nova Scotia,"The Writers’ Federation of Nova Scotia offers regular workshops and webinars on the business side of a writing career, including grant application strategy, project budgeting, publishing contracts, marketing, and author branding. Programs connect emerging and established writers with industry professionals and mentors, directly supporting the development of sustainable creative livelihoods.","Fragile arts, culture, and creative sector","Culture Incubator and Business-Training Workshops: Volunteer-led workshops and short incubator programs teaching budgeting, grantwriting, marketing, and contract negotiation tailored to creative careers, run in partnership with libraries, colleges, and business volunteers.",Systemic Exclusion and Weak Sense of Belonging,"1113 Marginal Road, Suite 201, Halifax, NS B3H 4P7",https://writers.ns.ca,info@writers.ns.ca,44.6393248,-63.5661532
Corporate Partnerships,Neptune Theatre,"Neptune Theatre’s Corporate Partnerships program convenes many local small and mid-sized businesses to co-sponsor mainstage productions, youth theatre, and community outreach. Partners contribute cash, in-kind services (such as printing, hospitality, and media), and shared promotional placements, creating a sustained private-sector consortium that underwrites local theatre and keeps programming accessible.","Fragile arts, culture, and creative sector","Arts-to-Business Sponsorship Consortium: A cooperative of small businesses that pool sponsorship dollars, in-kind services, and promotional space to support local productions and cultural programming, creating sustained private-sector backing.",Systemic Exclusion and Weak Sense of Belonging,"1593 Argyle Street, Halifax, NS B3J 2B2",https://www.neptunetheatre.com,info@neptunetheatre.com,44.6459551,-63.5739761
Cultural Education and School Outreach,Mi'kmaw Native Friendship Centre,"The Mi'kmaw Native Friendship Centre engages Elders and knowledge keepers to deliver in-school cultural programming—such as drumming, song, language, storytelling, and treaty teachings—along with guidance on respectful protocols and land-based learning. The centre partners with teachers to integrate Mi'kmaw perspectives into curriculum and supports extracurricular activities that deepen students’ understanding of local Indigenous histories and contemporary life in Mi’kma’ki.",Systemic inequities and discrimination,"Cultural competency and inclusive curriculum in schools: Work with Mi'kmaq knowledge keepers and Black and newcomer educators to integrate local Indigenous and African Nova Scotian histories, anti-racism materials, and disability and LGBTQ+ inclusion into K–12 programming and extracurriculars.",Systemic Exclusion and Weak Sense of Belonging,"2021 Gottingen Street, Halifax, NS B3K 3A9",https://mymnfc.com,info@mymnfc.com,44.6505111,-63.5810952
Work Exchange Program,Tatamagouche Centre,"Tatamagouche Centre’s Work Exchange Program allows participants to trade volunteer hours in hospitality, groundskeeping, and program support for credits toward program fees and accommodations. This time-for-value approach lowers financial barriers for students and young adults while building community ties through shared work and learning in rural Nova Scotia.","Cost-of-living pressures, wage stagnation, and student debt","Time-Banks and Care Exchange Programs: Set up time-banks where community members exchange hours of service (childcare, tutoring, elder care) to reduce out-of-pocket costs and strengthen local support networks.",Systemic Exclusion and Weak Sense of Belonging,"259 Loop of Highway 6, Tatamagouche, NS B0K 1V0",https://www.tatacentre.ca,info@tatacentre.ca,45.7109353,-63.2879017
Mi'kmaq Cultural Awareness Training,Membertou Heritage Park,"Membertou Heritage Park offers in-person cultural awareness training for schools, businesses, and public sector teams, facilitated by Mi'kmaq knowledge keepers and educators. Workshops cover Mi'kmaq history, treaties, and cultural safety, and include practical anti-bias reflection tools, guidance for respectful engagement, and support to define clear organizational commitments and accountability steps.",Systemic inequities and discrimination,"Community anti-racism and inclusion training: Offer ongoing, locally delivered workshops and coaching for schools, businesses, and community groups led by Black, Mi'kmaq, disability, and 2SLGBTQIA+ trainers that include practical anti-bias tools and accountability steps.",Systemic Exclusion and Weak Sense of Belonging,"35 Su'n Awti, Membertou, NS B1S 0H3",https://membertouheritagepark.com,info@membertouheritagepark.com,45.890253,-60.960521
PlayCare & Parents’ Night Out (John W. Lindsay YMCA),YMCA of Greater Halifax/Dartmouth,"The YMCA provides evening and weekend PlayCare and Parents’ Night Out programs where trained staff offer supervised play in community spaces at the John W. Lindsay YMCA. These scheduled, after-hours childcare blocks let parents cover non-standard work shifts or attend study sessions while children are safely engaged on site.",Childcare scarcity and family support gaps,"After-Hours Pop-Up Childcare Hubs: Use community centres, libraries or school gyms to host evening and weekend childcare shifts staffed by trained local providers, enabling parents working non-standard hours to attend to shifts or study.",Systemic Exclusion and Weak Sense of Belonging,"5640 Sackville Street, Halifax, NS B3J 3Y3",https://www.ymcahfx.ca,contact@ymcahfx.ca,44.6444187,-63.5803731
Mental Health Counselling,The Youth Project,"The Youth Project offers free counselling for 2SLGBTQIA+ youth, reducing cost barriers to timely mental health support. Services are sustained through community donations, grants, and fundraising, effectively operating as a community-managed subsidy that makes short-term counselling accessible when private therapy is unaffordable.",Health and mental health access gaps,"Community-run Sliding-scale Counselling Fund: Establish a community-managed fund (supported by donations, municipal grants, and fundraisers) to subsidize short-term counselling for youth who face cost barriers to private therapy.",Systemic Exclusion and Weak Sense of Belonging,"2281 Brunswick Street, Halifax, NS B3K 2Y9",https://youthproject.ns.ca,info@youthproject.ns.ca,44.6545219,-63.583592
Business Advisory & Mentorship,Ulnooweg Development Group,"Ulnooweg provides Indigenous entrepreneurs with personalized business advisory services, connecting clients to a network of volunteer mentors, industry experts, and peer circles across Atlantic Canada. Through regular check-ins, coaching sessions, and workshops, youth-led and early-stage Indigenous ventures receive tailored guidance on planning, financing, and scaling.",Underdeveloped entrepreneurship and scale-up ecosystem,"Community Mentorship Network: Create a local roster of volunteer mentors — entrepreneurs, retired executives, tradespeople — offering regular office hours, peer circles, and one-on-one coaching tailored to youth-led startups.",Systemic Exclusion and Weak Sense of Belonging,"172 Truro Heights Road, Truro Heights, NS B6L 1X1",https://ulnooweg.ca,info@ulnooweg.ca,45.3601376,-63.3204655
Family Support and Early Years Programs,The North Grove,"The North Grove is a family resource centre that provides on-site child-minding through its Early Years and Family Support programs so parents can attend programs, meet with visiting health partners, or connect with counseling and navigation services at the centre. Staff can also provide bus tickets and help families arrange and get to off-site medical and mental health appointments, reducing transportation and childcare barriers to care.",Health and mental health access gaps,"Transportation and childcare assistance for appointments: Create community volunteer driver programs, bus-pass subsidies and on-site childcare options so youth and families can attend health and mental health appointments without logistical barriers.",Systemic Exclusion and Weak Sense of Belonging,"6 Primrose Street, Dartmouth, NS B3A 4C5",https://www.thenorthgrove.ca,info@thenorthgrove.ca,44.6814085,-63.5860545
Good Food Market,The North Grove,"The North Grove’s Good Food Market offers affordable, community-priced produce and staples sourced through bulk procurement, allowing families to buy fresh food below typical retail pricing. Operating as a not-for-profit, the market functions like a community buying club—reducing mark-ups, prioritizing local suppliers, and helping households stretch grocery budgets while strengthening the local food economy.","Cost-of-living pressures, wage stagnation, and student debt","Community Food Co-ops and Bulk Buying Clubs: Establish or expand food co-ops and bulk-buying groups to lower household grocery costs, support local producers, and keep more income available for savings and investment.",Systemic Exclusion and Weak Sense of Belonging,"6 Primrose Street, Dartmouth, NS B3A 4C5",https://www.thenorthgrove.ca,info@thenorthgrove.ca,44.6814085,-63.5860545
Family Playgroup,The North Grove,"The North Grove hosts a parent-led Family Playgroup where caregivers co-create schedules and rotate supervision roles, creating an informal childcare co-op model. By pooling time and skills—and using volunteer childminding during select programs—the playgroup expands low-cost, trust-based care options for neighbourhood families, including those with limited access to formal childcare.",Childcare scarcity and family support gaps,"Community Childcare Co-ops: Families and local volunteers pool time, skills, and small fees to run licensed or informal cooperative childcare sites, rotating caregiving duties to expand affordable options and build trust within neighbourhoods.",Systemic Exclusion and Weak Sense of Belonging,"6 Primrose Street, Dartmouth, NS B3A 4C5",https://www.thenorthgrove.ca,info@thenorthgrove.ca,44.6814085,-63.5860545
2016 Flood Recovery – Voluntary Home Buyout Program,Cape Breton Regional Municipality,"Following the October 2016 flood in Sydney and surrounding communities, CBRM implemented a voluntary home buyout program in partnership with Nova Scotia’s Disaster Financial Assistance to reduce future flood losses. The municipality acquired high-risk residential properties in mapped floodways (e.g., along Wash Brook), removed structures, and reserved the land as open floodplain, thereby lowering exposure. Staff worked case-by-case with homeowners to support relocation within CBRM where possi...",Climate vulnerability and coastal risk,"Voluntary managed retreat frameworks and land swaps: Community-led planning for phased, voluntary relocation from the highest-risk shorelines — including land-swap mechanisms, buyouts, and local housing placement strategies to keep people in the community while reducing exposure.",Systemic Exclusion and Weak Sense of Belonging,"320 Esplanade, Sydney, NS B1P 7B9",https://www.cbrm.ns.ca,info@cbrm.ns.ca,46.1371609,-60.1960651
Club Executive Training and Leaders-in-Training (LIT),4-H Nova Scotia,"4-H Nova Scotia equips youth-run clubs across rural communities with structured officer training, clear executive role descriptions, and adult-youth co-leadership. Annual officer and LIT training prepares successors for roles like president, treasurer, and project leader, ensuring smooth transitions and welcoming younger members into governance as older volunteers step back.",Rural service erosion and community capacity constraints,"Succession Planning for Community Organizations: Encourage clubs and nonprofits to document roles, create co-lead positions, and train successors to avoid service gaps when volunteers retire and to welcome younger leaders into governance.",Systemic Exclusion and Weak Sense of Belonging,"90 Research Drive, Suite 122, Bible Hill, NS B6L 2R2",https://www.4hnovascotia.ca,info@4hnovascotia.ca,45.3891687,-63.2429674
Scholarship & Bursary Funds,Community Foundation of Nova Scotia,"The Community Foundation of Nova Scotia (CFNS) hosts scholarship and bursary funds that local businesses, service clubs, and residents establish and support through pooled contributions—often small gifts. These community-backed funds create targeted micro-scholarships for Nova Scotia students in in-demand areas such as skilled trades, health care, and applied research, improving access and retention. By administering and stewarding these funds province-wide, CFNS channels grassroots philanthr...",Post-secondary sustainability and research capacity limits,"Community-sponsored micro-scholarships: Local businesses, service clubs, and residents pool small donations to create targeted micro-scholarships for students pursuing in-demand programs, trades, or research projects to improve access and retention.",Systemic Exclusion and Weak Sense of Belonging,"Suite 806, 1888 Brunswick Street, Halifax, NS B3J 3J8",https://cfns-fcne.ca,info@cfns-fcne.ca,44.6494098,-63.5784887
Coastal Flooding and Storm Surge Monitoring (Lunenburg County),Coastal Action,"Coastal Action works with coastal communities such as Mahone Bay, Lunenburg, and Chester to map flood‑prone areas using community workshops, king‑tide photo surveys, and low‑cost water‑level loggers in harbours and streams. The program shares results with residents and municipal emergency managers to inform preparedness and support local early‑warning protocols ahead of storm surges and extreme tides.",Climate vulnerability and coastal risk,"Community flood mapping and early‑warning network: Local mapping of flood-prone streets and assets using community workshops and citizen science; install community sirens, text/phone alert lists and low-cost sensors to give residents advance warning of storm surges and extreme tides.",Systemic Exclusion and Weak Sense of Belonging,"37 Tannery Road, Lunenburg, NS B0J 2C0",https://www.coastalaction.org,info@coastalaction.org,44.3756187,-64.3193573
MSVU Summer Accommodations & Conference Services,Mount Saint Vincent University,"Mount Saint Vincent University makes residence spaces available to the public in the off‑academic season, providing affordable, furnished stays for co-op students, interns, and early‑career workers. By tapping surplus residence capacity, MSVU adds short-term, youth‑oriented housing options on a transit‑served campus minutes from Halifax’s core.",Housing affordability and supply constraints,University and College Housing Partnerships: Work with post-secondary institutions to convert surplus rooms or co-develop mixed-use student-youth housing that remains available to graduates and early-career residents.,Systemic Exclusion and Weak Sense of Belonging,"166 Bedford Highway, Halifax, NS B3M 2J6",https://www.msvu.ca,,44.6719513,-63.6451557
Off-Campus Housing,Mount Saint Vincent University,"Mount Saint Vincent University offers an online off-campus housing resource (linked with Places4Students) that lets landlords advertise rooms, apartments, and shared rentals, and enables students to search by budget, proximity, and amenities. The resource includes sublet listings and directs users to tenant-rights information and community supports, helping young renters secure safe, affordable housing.",Housing affordability and supply constraints,"Housing Matching and Resource Platform: Develop a community-run online platform that matches students, young workers, and landlords for shared rentals, lists affordable units, coordinates sublets, and shares information on tenant rights and supports.",Systemic Exclusion and Weak Sense of Belonging,"166 Bedford Highway, Halifax, NS B3M 2J6",https://www.msvu.ca,residence@msvu.ca,44.6719513,-63.6451557
Prior Learning Assessment and Recognition (PLAR),Mount Saint Vincent University,"MSVU recognizes learning gained through volunteer roles, community leadership, caregiving, and workplace experience by assessing documented portfolios and, where appropriate, challenge exams or interviews. Successful candidates receive transfer credit or course exemptions, and the university engages with local employers and community agencies to ensure assessed competencies align with labour-market and program outcomes.",Skills mismatch and weak work-integrated learning,"Community-Based Recognition of Prior Learning: Non-profits and colleges collaborate to assess and formally recognize skills gained through community work, volunteering, informal employment and Indigenous learning, converting experiences into credits, micro-credentials or trade hours to speed job readiness.",Systemic Exclusion and Weak Sense of Belonging,"166 Bedford Highway, Halifax, NS B3M 2J6",https://www.msvu.ca,admissions@msvu.ca,44.6719513,-63.6451557
Loan Repayment Advising and Financial Literacy Sessions,Mount Saint Vincent University,"MSVU’s Financial Aid office offers advising and periodic workshops that guide students and graduates through student loan repayment timelines, RAP/interest relief, and consolidation/refinancing, alongside core budgeting and credit-management skills. These services function as localized debt clinics that connect attendees with practical tools and official programs to manage and reduce student debt.","Cost-of-living pressures, wage stagnation, and student debt","Local Student Debt Clinics and Refinancing Workshops: Host regular clinics with financial counsellors and legal aid to guide graduates on repayment options, refinancing, loan forgiveness programs, and budgeting strategies to reduce debt burdens.",Systemic Exclusion and Weak Sense of Belonging,"166 Bedford Highway, Halifax, NS B3M 2J6",https://www.msvu.ca,financial.aid@msvu.ca,44.6719513,-63.6451557
Early Childhood Collaborative Research Centre (ECCRC) — Child Care Access & Policy Engagement,Mount Saint Vincent University,"ECCRC conducts province-wide research and community consultations to map child care access gaps, including in rural and underserved communities, and documents family and provider experiences through surveys and knowledge-mobilization reports. The centre translates these findings into actionable recommendations and policy briefs for municipal and provincial leaders, advocating for flexible licensing, ECE wage and retention supports, and targeted rural investment. Public webinars, briefs, and m...",Childcare scarcity and family support gaps,"Community Advocacy & Information Campaigns: Organize local campaigns to map childcare gaps, share stories, and lobby municipal or provincial bodies for flexible licensing, wage supports, and rural-focused funding—amplifying community needs.",Systemic Exclusion and Weak Sense of Belonging,"166 Bedford Highway, Halifax, NS B3M 2J6",https://www.msvu.ca,eccrc@msvu.ca,44.6719513,-63.6451557
Work From Nova Scotia (Talent Attraction Campaign),Invest Nova Scotia,"Invest Nova Scotia’s Work From Nova Scotia initiative promotes the province as a destination for remote workers by highlighting quality of life, Atlantic Time Zone advantages, cost-of-living, and access to co-working hubs across urban and rural communities. The campaign and concierge-style support help remote employees and digital entrepreneurs relocate, connect with local ecosystems, and quickly integrate into Nova Scotia’s communities and economy.","Limited availability of high-quality, future-ready jobs","Remote Work Hubs and Attraction Programs: Convert underused community spaces into co-working hubs with strong internet and amenities, and run local campaigns to attract remote workers and digital entrepreneurs seeking quality of life.",Systemic Exclusion and Weak Sense of Belonging,"1809 Barrington Street, Suite 1100, Halifax, NS B3J 3K8",https://investnovascotia.ca,info@investnovascotia.ca,44.6489899,-63.5745798
Invest Nova Scotia – Accelerate Program and Mentor Network,Invest Nova Scotia,"Invest Nova Scotia’s startup programming pairs founders with a mentor network of experienced entrepreneurs, retired industry leaders, and alumni of successful Atlantic Canadian startups. Mentors provide structured guidance on commercialization, scaling, and capital strategy, and frequently connect teams to early-stage angel investors—while reverse‑mentoring occurs as seasoned advisors gain fresh insights from youth-led companies in new sectors.",Underdeveloped entrepreneurship and scale-up ecosystem,"Retiree and Alumni Engagement Program: Mobilize retired professionals and university alumni as mentors, advisors or small-scale angel investors through structured programs and reverse-mentoring opportunities.",Systemic Exclusion and Weak Sense of Belonging,"1871 Hollis Street, Suite 1100, Halifax, NS B3J 0C3",https://investnovascotia.ca,info@investnovascotia.ca,44.6497244,-63.5736776
