Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Chebucto Family Centre Childminding & Family Support,Home of the Guardian Angel (Chebucto Family Centre),"Chebucto Family Centre offers free on-site childminding during employment-support workshops, prenatal/postnatal sessions, and other programs, reducing immediate childcare costs that can block access to jobs or training. Funded by donors and partners, the Centre also helps families navigate provincial subsidies and connect with nearby regulated care, aligning with community-based subsidy pooling and co-operative support models.",Wages Lagging Cost of Living,Neighborhood Childcare Co-ops and Subsidy Pools: Help community groups form cooperative childcare programs and local subsidy pools (through employers and charities) to lower childcare costs that hinder young workers’ ability to accept better-paying roles.,Structural Economic Scale and Capital Constraints,"3 Sylvia Avenue, Halifax, NS B3R 1J7",https://hgahfx.ca,,44.6035474,-63.6110091
Community Benefits and Social Procurement for Major Projects,Build Nova Scotia,"Build Nova Scotia embeds community benefits into procurement and development agreements for provincial infrastructure projects, requiring contractors to prioritize local hiring, apprenticeship and workforce development, and opportunities for Nova Scotian suppliers. These procurements also set expectations for fair compensation aligned with living-wage benchmarks where appropriate, leveraging public contracts to grow decent-paid local jobs.",Wages Lagging Cost of Living,Local Procurement & Living Wage Clauses: Encourage towns and regional authorities to include living-wage and local-hire clauses in procurement and development agreements to raise wages indirectly by creating demand for decent-paid local jobs.,Structural Economic Scale and Capital Constraints,"1875 Upper Water Street, Suite 301, Halifax, NS B3J 1S7",https://buildns.ca,info@buildns.ca,44.6505119,-63.5728293
Internet for Nova Scotia Initiative (IFNSI),Build Nova Scotia,"IFNSI aggregates demand from rural and coastal communities by mapping underserved premises and bundling neighboring areas into larger project clusters. It then runs competitive procurements and partners with regional ISPs (e.g., Bell, Seaside, Xplore) to deliver last‑mile fibre, cable, or fixed‑wireless builds and upgrades, leveraging pooled public funding to secure better pricing and faster timelines.",Digital Connectivity Gaps,"Local ISP Partnership and Demand Aggregation: Aggregate household and business demand across neighbouring communities to create bulk-buy incentives, then partner with regional ISPs or co-ops to secure competitive last-mile builds or service upgrades.",Structural Economic Scale and Capital Constraints,"1741 Lower Water Street, Suite 600, Halifax, NS B3J 0J2",https://buildns.ca,info@buildns.ca,44.6487605,-63.5717828
Halifax Waterfront Free Public WiFi,Build Nova Scotia,"Build Nova Scotia operates a free public WiFi network along the Halifax waterfront using multiple outdoor access points mounted on light standards and public buildings. The nodes use wireless mesh backhaul to create continuous coverage and resiliency across the boardwalk and adjacent public spaces, and are linked to fiber where available—functioning as a community mesh pilot that can be extended into nearby neighbourhoods.",Digital Connectivity Gaps,Community Mesh Network Pilots: Deploy low-cost mesh wireless nodes on public buildings and volunteer rooftops to create resilient neighbourhood networks that provide basic broadband and can be scaled or linked to fiber backhaul.,Structural Economic Scale and Capital Constraints,"1751 Lower Water Street, Halifax, NS B3J 1S5",https://buildns.ca,info@buildns.ca,44.6492185,-63.5710311
Buy Social Procurement Advisory and Certification (Nova Scotia),Common Good Solutions,"Common Good Solutions provides social procurement training and hands-on support to municipalities, universities, health authorities, and developers in Nova Scotia to include local-hire, community benefit, and living-wage language in RFPs and contracts. It also helps suppliers meet decent work and living-wage expectations and access Buy Social certification, channeling public and institutional spending toward better-paid local employment.",Wages Lagging Cost of Living,Local Procurement & Living Wage Clauses: Encourage towns and regional authorities to include living-wage and local-hire clauses in procurement and development agreements to raise wages indirectly by creating demand for decent-paid local jobs.,Structural Economic Scale and Capital Constraints,"5557 Cunard Street, Suite C, Halifax, NS B3K 1C5",https://commongoodsolutions.ca,hello@commongoodsolutions.ca,44.652856,-63.586588
Volta Residency and Volta Cohort,Volta,"Volta is Atlantic Canada’s innovation hub offering subsidized workspace, mentorship, and programming for tech-enabled startups. Its Residency provides entrepreneurs with community, advisor access, and reduced overhead, while the Volta Cohort program awards funding to early-stage companies alongside intensive mentorship and investor connections. These supports lower start-up costs and accelerate revenue generation for young founders building companies in Nova Scotia.",Wages Lagging Cost of Living,"Microgrants & Start-up Supports for Young Entrepreneurs: Provide small grants, rent-free pop-up retail space, mentorship and reduced-fee licensing to help young entrepreneurs launch businesses that generate higher personal incomes locally.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Unit 100, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Volta Office Hours and Mentorship,Volta,"Volta convenes volunteer mentors—experienced founders, retired industry leaders, and functional experts—for recurring Office Hours and group clinics that advise early-stage entrepreneurs. These sessions, delivered in person at Volta and virtually across Nova Scotia, focus on business planning, fundraising and financing, sales pipelines, and operational best practices, often organizing conversations by sector and stage to create effective mentor circles.",Barriers to Entrepreneurship and Small Business Growth,"Volunteer Mentor Circles: Neighborhood- and sector-based mentor groups of retired business owners, tradespeople, and professionals who meet regularly (in-person or online) to advise new entrepreneurs on planning, financing, and operations.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Unit 100, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Volta Coworking and Startup Hub,Volta,"Volta is a nonprofit innovation hub that provides affordable coworking desks, offices, meeting rooms, and event space for startups and founders. It implements the solution by converting large floors within the Maritime Centre into shared workspaces run by a nonprofit, offering subsidized resident memberships, mentorship, and programming to reduce early-stage costs and barriers.",Barriers to Entrepreneurship and Small Business Growth,"Shared Workspaces and Maker Hubs: Transform underused community buildings into affordable coworking and maker spaces run as cooperatives or nonprofits, offering desks, workshops, meeting rooms and subsidized rates for startups.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Volta on the Road,Volta,"Volta’s team and mentor network run traveling “on the road” pop-up clinics and office hours in communities across Nova Scotia, bringing startup advising directly to rural founders. These visits bundle startup diagnostics, mentorship sign-ups, and practical guidance on permits, incorporation, and funding pathways in collaboration with local partners—functioning as a one-stop mobile support unit for entrepreneurs outside Halifax.",Barriers to Entrepreneurship and Small Business Growth,"One-Stop Mobile Business Support Unit: A traveling team (staffed by volunteers and small-business advisors) that visits rural communities on a schedule to provide startup clinics, permit help, funding advice and mentorship sign-ups.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, 7th Floor, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.648618,-63.5859487
Volta Cohort Pitch Competition,Volta,"Volta Cohort is a recurring pitch event where early-stage founders compete for seed funding and in-kind resources. Winners receive seed investments along with mentorship, workspace access, and professional services from Volta’s partner network, directly addressing gaps in early capital, coaching, and affordable space for Nova Scotia startups.",Barriers to Entrepreneurship and Small Business Growth,"Business Plan & Pitch Nights with Seed Grants: Regular community pitch events where finalists receive small seed grants or in-kind support (space, legal help, mentorship) funded by local sponsors and voters, building local ownership of startups.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Volta Innovation Hub,Volta,"Volta is Atlantic Canada’s largest innovation hub, offering flexible co-working memberships, meeting rooms, and a community for tech startups, freelancers, and remote employees. Through regular workshops, meetups, mentorship, and a welcoming ‘landing pad’ for relocators, Volta gives remote workers and returning Nova Scotians access to workspace, networks, and programming year-round—strengthening the local tech ecosystem beyond seasonal cycles.",Industry Concentration and Seasonality,"Remote Worker and Returner Attraction Program: Offer a locally promoted package of incentives and services for remote workers and former residents—co-working access, childcare options, housing navigation and welcome events—to attract talent year-round.",Structural Economic Scale and Capital Constraints,"1505 Barrington Street, Halifax, NS B3J 3K5",https://voltaeffect.com,info@voltaeffect.com,44.6445647,-63.5723991
Downtown Truro Pop-Up Shop Program,Downtown Truro Partnership,"This initiative activates vacant storefronts by offering short-term, subsidized or rent-free retail pop-up spaces to new and emerging entrepreneurs. Participants receive coaching on merchandising, marketing, and permits, along with promotional support from the business association, allowing youth and first-time founders to test concepts with minimal overhead. The program helps entrepreneurs build local customer bases and income while de-risking the path to a permanent location.",Wages Lagging Cost of Living,"Microgrants & Start-up Supports for Young Entrepreneurs: Provide small grants, rent-free pop-up retail space, mentorship and reduced-fee licensing to help young entrepreneurs launch businesses that generate higher personal incomes locally.",Structural Economic Scale and Capital Constraints,"104-605 Prince Street, Truro, NS B2N 1G2",https://downtowntruro.ca,info@downtowntruro.ca,45.3654528,-63.2832201
Advocacy & Municipal Liaison,Downtown Truro Partnership,"Downtown Truro Partnership represents member businesses in regular meetings with the Town of Truro and the Municipality of Colchester to remove barriers to opening and growing downtown enterprises. It advocates for streamlined sign and patio permits, standardized application templates, quicker approvals, and practical zoning and parking updates, channeling coordinated feedback from merchants to council to make local regulations more small-business friendly outside HRM.",Barriers to Entrepreneurship and Small Business Growth,"Municipal Partnership Advocacy Groups: Local business associations and community groups collaborate to lobby municipal councils for streamlined permitting templates, faster approvals, and common-sense zoning updates in outlying areas.",Structural Economic Scale and Capital Constraints,"605 Prince Street, Truro, NS B2N 1G2",https://downtowntruro.ca,info@downtowntruro.ca,45.3654528,-63.2832201
CBDC Blue Water Youth Loan Program,CBDC Blue Water (Community Business Development Corporation),"CBDC Blue Water offers flexible Youth Loans (typically up to $20,000) along with one-on-one business counselling to help entrepreneurs aged 18–34 start or expand ventures in rural Nova Scotia. The program pairs accessible financing with mentorship on business planning, cash flow, and licensing requirements, reducing start-up barriers for young founders. By combining capital with advisory support, it enables youth-led businesses to launch and increase local earning potential.",Wages Lagging Cost of Living,"Microgrants & Start-up Supports for Young Entrepreneurs: Provide small grants, rent-free pop-up retail space, mentorship and reduced-fee licensing to help young entrepreneurs launch businesses that generate higher personal incomes locally.",Structural Economic Scale and Capital Constraints,"61 Stella Drive, Unit 204, Musquodoboit Harbour, NS B0J 2L0",https://www.cbdc.ca,bluewater@cbdc.ca,44.7826899,-63.1792542
Business Is Jammin’ Youth Entrepreneurship Programs,Business Is Jammin’ (a program of the Black Business Initiative),"Business Is Jammin’ delivers entrepreneurship education, mentorship, and pitch events that provide startup cash awards to Black youth across Nova Scotia. Through workshops, camps, and coaching, participants gain the skills and support to launch micro-enterprises and creative ventures, often accessing small grants or prize funding to cover initial costs. The program helps young entrepreneurs build confidence, revenue, and community connections while growing businesses locally.",Wages Lagging Cost of Living,"Microgrants & Start-up Supports for Young Entrepreneurs: Provide small grants, rent-free pop-up retail space, mentorship and reduced-fee licensing to help young entrepreneurs launch businesses that generate higher personal incomes locally.",Structural Economic Scale and Capital Constraints,"1660 Hollis Street, Suite 910, Halifax, NS B3J 1V7",https://businessisjammin.ca,info@businessisjammin.ca,44.6467706,-63.5725894
Affordable Access Program – Low Income Transit Pass,Halifax Regional Municipality (Halifax Transit),"Halifax Regional Municipality’s Affordable Access Program provides a 50% discount on Halifax Transit monthly passes for eligible low-income residents. The subsidy directly lowers commuting costs for low-wage workers and job seekers, enabling reliable access to employment, training, and services across the city’s bus and ferry network. By reducing the financial barrier to transit, the program supports workforce participation and mobility for young people and families.",Wages Lagging Cost of Living,"Community Transit & Commute Subsidies: Implement municipal transit improvements, subsidized transit passes for low-wage workers, and coordinated ride-share programs to lower transportation costs and expand access to better-paying jobs.",Structural Economic Scale and Capital Constraints,"7071 Bayers Road, Halifax, NS B3L 2C2",https://www.halifax.ca,,44.6541222,-63.6273462
Kings Transit Authority (Regional Bus Service),Kings Transit Authority,"Kings Transit Authority operates fixed-route public transit linking communities from Weymouth to Wolfville across the Annapolis Valley. With affordable fares and monthly passes, the service connects residents to employment centers, colleges, industrial parks, and retail corridors, reducing the need for private vehicles. By improving regional mobility, it expands access to better-paying jobs for workers and youth in rural and small-town Nova Scotia.",Wages Lagging Cost of Living,"Community Transit & Commute Subsidies: Implement municipal transit improvements, subsidized transit passes for low-wage workers, and coordinated ride-share programs to lower transportation costs and expand access to better-paying jobs.",Structural Economic Scale and Capital Constraints,"29 Crescent Drive, New Minas, NS B4N 3G7",https://www.kingstransit.ca,info@kingstransit.ca,45.0700026,-64.4654124
WorkEvolved Coworking Community,WorkEvolved Inc.,"WorkEvolved provides affordable coworking memberships, hot desks, private offices, and meeting rooms with high-speed internet in downtown Truro. By giving freelancers, remote employees, and entrepreneurs professional space and amenities close to home, it helps young residents access remote and higher-paying jobs without relocating or commuting to larger centres.",Wages Lagging Cost of Living,"Shared Workplaces and Remote Work Hubs: Develop affordable co-working and remote work hubs in smaller towns to let young residents access higher-paying remote jobs while staying local, reducing relocation pressure and commuting costs.",Structural Economic Scale and Capital Constraints,"574 Prince Street, Truro, NS B2N 1G1",https://workevolved.ca,hello@workevolved.ca,45.3653823,-63.284056
Women in Trades and Technology (WITT),YWCA Halifax,"WITT offers short, intensive pre-apprenticeship training and career readiness workshops for women and gender-diverse people exploring skilled trades and technology careers. Participants earn industry-recognized safety tickets, receive mentorship and job coaching, and are connected with NSCC programs and local employers for placements and apprenticeships. The program provides a clear, supported ladder into higher-wage trades and tech roles.",Wages Lagging Cost of Living,"Skills-upskilling & Career Ladder Workshops: Run community-led short-course bootcamps, credential bridging and mentorship programs (in partnership with colleges/employers) that help entry-level workers move into higher-wage roles faster.",Structural Economic Scale and Capital Constraints,"1233 Barrington Street, Halifax, NS B3J 1Y2",https://ywcahalifax.com,info@ywcahalifax.com,44.6406613,-63.5704631
Home Energy Assessment,EfficiencyOne (Efficiency Nova Scotia),"Efficiency Nova Scotia’s Home Energy Assessment connects households with an energy advisor to identify cost-saving retrofits and provides rebates for insulation, heat pumps, and efficient equipment. By coordinating a network of certified contractors and incentives, the program lowers upfront costs and enables bulk uptake of common upgrades, directly reducing monthly energy bills for Nova Scotians.",Wages Lagging Cost of Living,"Energy Efficiency & Utility Support Programs: Coordinate local bulk-buy and retrofit programs (insulation, heat pumps, efficient appliances) and targeted utility relief for low-wage households to reduce monthly living costs.",Structural Economic Scale and Capital Constraints,"230 Brownlow Avenue, Suite 300, Dartmouth, NS B3B 0G5",https://www.efficiencyns.ca/residential/home-energy-assessment/,info@efficiencyns.ca,44.6961793,-63.5809694
HomeWarming,Clean Foundation and EfficiencyOne (Efficiency Nova Scotia),"HomeWarming provides no-cost home energy retrofits—such as insulation, air sealing, and heating system improvements—for income-qualified Nova Scotians. Delivered by Clean Foundation and EfficiencyOne, the program targets low-wage households to cut energy waste and utility bills, implementing coordinated retrofit services that reduce monthly living costs.",Wages Lagging Cost of Living,"Energy Efficiency & Utility Support Programs: Coordinate local bulk-buy and retrofit programs (insulation, heat pumps, efficient appliances) and targeted utility relief for low-wage households to reduce monthly living costs.",Structural Economic Scale and Capital Constraints,"126 Portland Street, Dartmouth, NS B2Y 1H8",https://www.homewarming.ca,info@cleanfoundation.ca,44.6659186,-63.5662829
Heating Assistance Rebate Program (HARP),Government of Nova Scotia — Service Nova Scotia,"HARP provides an annual rebate to help low- and modest-income Nova Scotian households with home heating costs, including electricity, oil, propane, wood, and other fuels. This targeted utility relief reduces energy burden for wage-constrained families, complementing retrofit programs by lowering near-term monthly living costs.",Wages Lagging Cost of Living,"Energy Efficiency & Utility Support Programs: Coordinate local bulk-buy and retrofit programs (insulation, heat pumps, efficient appliances) and targeted utility relief for low-wage households to reduce monthly living costs.",Structural Economic Scale and Capital Constraints,"Maritime Centre, 1505 Barrington Street, Halifax, NS B3J 3K5",https://novascotia.ca/programs/heating-assistance-rebate-program/,harp@novascotia.ca,44.6444381,-63.5720656
Dartmouth North Community Food Centre,Dartmouth Family Centre / Dartmouth North Community Food Centre,"The Dartmouth North Community Food Centre runs affordable produce markets, community meals, and gardening programs that increase access to fresh, healthy food for local families. By offering low-cost fruits and vegetables, teaching food skills, and supporting community gardens, the Centre directly lowers grocery costs and strengthens local food security.",Wages Lagging Cost of Living,"Food Security & Affordable Grocery Initiatives: Support food co-ops, community gardens, farmers’ market discount programs and bulk-buy purchasing groups that lower household food costs for young families and individuals.",Structural Economic Scale and Capital Constraints,"6 Primrose Street, Dartmouth, NS B3A 4C5",https://dartmouthfamilycentre.ca/community-food-centre,info@dartmouthfamilycentre.ca,44.6814085,-63.5860545
Good Food Access Program,New Glasgow Farmers Market Society,"The Good Food Access Program at the New Glasgow Farmers Market provides subsidized Fresh Food Boxes and Market Bucks that help households purchase local produce at reduced cost. By combining bulk-buy produce boxes with discount vouchers for market vendors, the program lowers weekly grocery bills while supporting local growers.",Wages Lagging Cost of Living,"Food Security & Affordable Grocery Initiatives: Support food co-ops, community gardens, farmers’ market discount programs and bulk-buy purchasing groups that lower household food costs for young families and individuals.",Structural Economic Scale and Capital Constraints,"620 East River Road, New Glasgow, NS B2H 3S2",https://ngfarmmarket.com,info@ngfarmmarket.com,45.5755437,-62.6380417
Nourishing Communities Food Coupon Program,Wolfville Farmers’ Market,The Wolfville Farmers’ Market’s Nourishing Communities program distributes weekly food coupons that can be spent with market vendors on fresh produce and staples. This targeted discount initiative improves affordability for low-income residents and families while keeping dollars within the local food economy.,Wages Lagging Cost of Living,"Food Security & Affordable Grocery Initiatives: Support food co-ops, community gardens, farmers’ market discount programs and bulk-buy purchasing groups that lower household food costs for young families and individuals.",Structural Economic Scale and Capital Constraints,"24 Elm Avenue, Wolfville, NS B4P 1Z9",https://www.wolfvillefarmersmarket.ca,info@wolfvillefarmersmarket.ca,45.0927247,-64.3641647
Square Roots Pay-What-You-Can Produce Bundles,Square Roots Food Program (Enactus Saint Mary’s University),"Square Roots offers pay-what-you-can 10–20 lb produce bundles made from rescued or surplus fruits and vegetables, with community pickup hubs across Nova Scotia. By aggregating bulk purchases and reducing food waste, the program provides affordable groceries for individuals and families while strengthening local food access.",Wages Lagging Cost of Living,"Food Security & Affordable Grocery Initiatives: Support food co-ops, community gardens, farmers’ market discount programs and bulk-buy purchasing groups that lower household food costs for young families and individuals.",Structural Economic Scale and Capital Constraints,"923 Robie Street, Halifax, NS B3H 3C3",https://squarerootsfood.ca,squarerootsfoodprogram@gmail.com,44.6313165,-63.5816691
Community Volunteer Income Tax Program (CVITP) and Money Matters at Halifax Public Libraries,Halifax Public Libraries,"Halifax Public Libraries hosts free CVITP tax clinics and Money Matters financial literacy workshops across its branches. These services help individuals file taxes to access federal and provincial benefits and credits, and build budgeting, credit, and debt management skills—directly improving disposable income for young workers. Librarians and partner organizations provide one-on-one guidance and referrals to community supports, functioning as an accessible benefits navigation hub.",Wages Lagging Cost of Living,"Financial Coaching and Benefits Navigation: Provide free or low-cost financial literacy, debt counseling and benefits navigation through libraries and community centres so young workers maximize income and access supports that improve disposable income.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Community Navigators (Library-Based Social Work & Navigation),Halifax Public Libraries,"Halifax Public Libraries hosts Community Navigators who provide free drop-in navigation and referrals to mental health, primary care, housing, and crisis resources across multiple branches. Libraries also routinely host partner-led, volunteer and peer-run mental health support groups and drop-in circles in their community rooms, creating low-barrier, neighborhood-based hubs for help. This directly aligns with peer support and navigator access in community spaces, reducing wait-time stress and...",Primary Care and Mental Health Gaps,"Peer Mental Health Support Networks: Create volunteer-led peer support groups and peer navigator programs run from community centres and libraries that offer regular drop-in sessions, crisis navigation, and connection to professional services.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Bookable Study Rooms and Phone Booths (Telehealth-Friendly Spaces),Halifax Public Libraries,"Halifax Public Libraries offers private study rooms and phone booths at branches like Halifax Central Library that residents routinely use for virtual medical and counselling appointments. Libraries provide free high-speed Wi‑Fi, public computers and loanable devices, and staff tech help to connect to Nova Scotia Health–supported virtual care platforms (e.g., Zoom/Maple), effectively creating a telehealth hub in a trusted public space.",Primary Care and Mental Health Gaps,"Telehealth Hubs in Public Spaces: Set up private telehealth booths in municipal buildings, community centres and libraries with reliable internet, devices, and trained volunteers to help residents access virtual primary care and counselling appointments.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Technology Lending (WiFi Hotspots & Chromebooks),Halifax Public Libraries,"Halifax Public Libraries lends portable WiFi hotspots and Chromebooks so residents can get online and access a reliable device for work, learning, job searches, and entrepreneurship. The library system also hosts hands-on tech help and periodic community repair events in partnership with local volunteer fixers, aligning with the solution’s combined device-loan and repair support to build local technical capacity.",Digital Connectivity Gaps,"Device Loan and Repair Network: Establish a community library of laptops, tablets and portable hotspots with an associated volunteer repair cafe so students and entrepreneurs have reliable devices while building local technical capacity.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Halifax Central Library Creative Labs and Bookable Workspaces,Halifax Public Libraries,"Halifax Public Libraries operates free and low-cost maker and creative labs (including 3D printing, audio/video studios) and provides bookable meeting rooms and open work areas for the public. As a publicly funded nonprofit, it implements the solution by offering accessible shared work and maker spaces, enabling startups and creators to prototype, meet, and work without prohibitive costs.",Barriers to Entrepreneurship and Small Business Growth,"Shared Workspaces and Maker Hubs: Transform underused community buildings into affordable coworking and maker spaces run as cooperatives or nonprofits, offering desks, workshops, meeting rooms and subsidized rates for startups.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Lou Duggan Creative Studio & Media Studio (Halifax Central Library),Halifax Public Libraries,"Halifax Central Library hosts public makerspaces that provide free or low-cost access to 3D printers, sewing machines, Cricut cutters, digitization tools, and bookable audio/video studios. The Library also supports borrowing of creative equipment (including musical instruments through the Sun Life Musical Instrument Lending Library), enabling youth, artists, and community groups to produce media and art without purchasing gear.","Underinvestment in Arts, Culture, and Recreation","Shared Equipment Library and Makerspace: Create a lending library of tools, AV gear, instruments and fabrication equipment so artists and small groups can produce work without large upfront costs.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Pop-Up Libraries & Mobile Outreach,Halifax Public Libraries,"Halifax Public Libraries regularly deploys pop-up libraries and mobile cultural programming to parks, community centres, markets, and festivals across HRM. These temporary setups offer performances, workshops, and creative activities that animate public spaces and help identify neighbourhoods with demand for expanded, longer-term arts and literacy programming.","Underinvestment in Arts, Culture, and Recreation","Pop-up and Mobile Venues: Organize rotating pop-up shows, performances and markets in vacant storefronts, parks and community centres to activate spaces and test demand for long-term venues.",Structural Economic Scale and Capital Constraints,"60 Alderney Drive, Dartmouth, NS B2Y 4P8",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6645872,-63.5689392
Teen Advisory Group (TAG) - Youth Zine & Storytelling,Halifax Public Libraries,"Halifax Public Libraries’ Teen Advisory Group (TAG) empowers youth to design programs, curate zines, and create digital stories that reflect local issues like housing, climate, and transit. Youth plan and lead public showcases, pop-up exhibits, and library events where their work is shared with community members and municipal staff, and their feedback informs library and community priorities.",Youth Voice and Civic Influence,"Youth‑Led Cultural and Storytelling Projects: Support youth in producing community storytelling, festivals, zines and digital media that surface local issues and recommendations to decision-makers and the broader public.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,askus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Halifax Public Libraries Teen Advisory Group (TAG) and Annual Impact Reporting,Halifax Public Libraries,"TAG gives teens structured roles to co-design programs, collections, and spaces across Halifax Public Libraries, with recommendations captured in branch reports and Board updates. The Library publishes easy-to-read annual reports and “by the numbers” summaries that track teen participation, initiatives delivered, and changes implemented based on youth input—providing transparent, dashboard-style reporting on youth engagement activities, outcomes, and how feedback influenced library decisions.",Youth Voice and Civic Influence,"Youth Impact Dashboard and Annual Report: Publish an easy-to-read local dashboard and yearly report that tracks youth engagement activities, decisions influenced, funded projects and outcomes to increase transparency and accountability.",Structural Economic Scale and Capital Constraints,"5440 Spring Garden Road, Halifax, NS B3J 1E9",https://www.halifaxpubliclibraries.ca,contactus@halifaxpubliclibraries.ca,44.6428872,-63.5752999
Free Income Tax Clinic & Community Navigator,Chebucto Connections,"Chebucto Connections operates a free CVITP income tax clinic and offers a Community Navigator who assists residents with applications for benefits and income supports (e.g., GST/HST credit, Canada Workers Benefit, and provincial programs). They also host practical financial literacy sessions with partner agencies, providing low-barrier coaching through a neighborhood community centre to help young workers manage debt, budget, and maximize available supports.",Wages Lagging Cost of Living,"Financial Coaching and Benefits Navigation: Provide free or low-cost financial literacy, debt counseling and benefits navigation through libraries and community centres so young workers maximize income and access supports that improve disposable income.",Structural Economic Scale and Capital Constraints,"531 Herring Cove Road, Halifax, NS B3R 1X3",https://www.chebuctoconnections.ca,info@chebuctoconnections.ca,44.6009646,-63.6087078
CVITP Tax Clinics and Money Matters Workshops at Cape Breton Regional Library,Cape Breton Regional Library,"Cape Breton Regional Library branches host free Community Volunteer Income Tax Program clinics and Money Matters financial literacy workshops. These services help residents file taxes to unlock benefits and credits and provide practical coaching on budgeting, credit, and managing debt—delivered in trusted library settings that make financial help accessible to young workers across the region.",Wages Lagging Cost of Living,"Financial Coaching and Benefits Navigation: Provide free or low-cost financial literacy, debt counseling and benefits navigation through libraries and community centres so young workers maximize income and access supports that improve disposable income.",Structural Economic Scale and Capital Constraints,"50 Falmouth Street, Sydney, NS B1P 6X9",https://www.cbrl.ca,info@cbrl.ca,46.1356139,-60.1934179
Tech Help and Cyber Safety Workshops (McConnell Library),Cape Breton Regional Library,"The Cape Breton Regional Library delivers Tech Help drop-ins and workshops at branches like McConnell Library that cover computer basics, internet safety/cybersecurity, cloud tools, and video conferencing for remote work and learning. Staff assist patrons with device setup, resumes and online profiles, and navigating digital job applications so rural residents can access remote jobs and training opportunities.",Digital Connectivity Gaps,"Digital Skills and Remote Work Training: Run community-led programs teaching remote-work tools, cybersecurity, online entrepreneurship and digital job-readiness so residents can fully leverage improved connectivity.",Structural Economic Scale and Capital Constraints,"50 Falmouth Street, Sydney, NS B1P 6X9",https://www.cbrl.ca,info@cbrl.ca,46.1356139,-60.1934179
Young Workers Committee,Nova Scotia Federation of Labour,"The Young Workers Committee organizes young workers and student labour activists across Nova Scotia to build a collective voice for decent work and fair wages. It gathers data and stories on wage gaps and precarious work, then lobbies provincial and municipal governments for policies like minimum-wage increases, paid sick days, and fair scheduling, while pressing local employers to adopt living-wage practices and better entry-level pay.",Wages Lagging Cost of Living,"Advocacy & Collective Voice Network: Form local youth-employment coalitions to collect data on wage gaps, lobby provincial and municipal governments for policy changes (minimum-wage adjustments, targeted tax relief) and amplify employer accountability locally.",Structural Economic Scale and Capital Constraints,"3700 Kempt Road, Suite 5, Halifax, NS B3K 4X8",https://nslabour.ca,info@nslabour.ca,44.6626467,-63.619477
Nova Scotia Living Wage Reports & Campaign,Canadian Centre for Policy Alternatives – Nova Scotia Office,"CCPA–NS produces rigorous, community-specific living wage calculations (e.g., Halifax, Cape Breton) and analyzes wage gaps relative to the cost of housing, food, and transportation. Using this local data, the office briefs municipal and provincial decision-makers and works with community coalitions to advance policies such as living-wage procurement, minimum-wage adjustments, and targeted tax relief for low-wage workers, while publicly benchmarking employer accountability to living-wage stand...",Wages Lagging Cost of Living,"Advocacy & Collective Voice Network: Form local youth-employment coalitions to collect data on wage gaps, lobby provincial and municipal governments for policy changes (minimum-wage adjustments, targeted tax relief) and amplify employer accountability locally.",Structural Economic Scale and Capital Constraints,"Saint Mary’s University, 923 Robie Street, Halifax, NS B3H 3C3",https://www.policyalternatives.ca/offices/nova-scotia,ccpans@policyalternatives.ca,44.648618,-63.5859487
