Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Volunteer Child-Minding and Family Support,Chebucto Family Centre (Home of the Guardian Angel),"Chebucto Family Centre coordinates a volunteer-based child-minding network that offers short-term, on-call care so parents can attend work shifts, medical or legal appointments, or manage crises when regular child care is unavailable. The centre recruits, screens, and supports trained volunteers and staff to provide temporary care on-site or in the community, effectively serving as a neighbourhood back-up caregiver pool that helps families bridge gaps caused by closures and staffing shortages.",Childcare Access and Affordability,"Neighborhood Babysitting Co-op & Emergency Pool: Volunteer-run registry of trained back-up caregivers who can provide emergency or short-notice care, reducing gaps when regular programs are closed or staffed short.",Talent and Mobility System Misalignment,"3 Sylvia Avenue, Halifax, NS B3R 1J7",https://www.homeoftheguardianangel.ca,info@homeoftheguardianangel.ca,44.6035474,-63.6110091
Care for Newcomer Children (CNC) – Pop-up Childminding for Newcomer Programs,YMCA of Greater Halifax/Dartmouth – Centre for Immigrant Programs (CIP) and YREACH,"The YMCA’s immigrant services team provides CNC childminding that travels with their programs across HRM and other Nova Scotia communities via YREACH. Staff create pop-up childcare spaces at community centres, libraries, employer sessions, and special events so parents can participate in settlement, employment, and training activities. This portable approach increases flexibility for families and partner employers hosting short-term or after-hours programs.",Childcare Access and Affordability,"Mobile and Pop-up Childcare Services: A portable childcare team that sets up pop-up rooms for festivals, community events, or temporary worksite needs, increasing flexibility for families and employers.",Talent and Mobility System Misalignment,"7071 Bayers Road, Suite 201, Halifax, NS B3L 2C2",https://ymcahfx.ca,info@ymcahfx.ca,44.6541222,-63.6273462
Child Minding for Programs & Community Events,YWCA Halifax,"YWCA Halifax provides on-site child minding to remove childcare barriers for women, gender-diverse people, and families attending employment, training, and community programs. Their team can bring portable equipment and set up short-term childcare rooms at partner sites, employer-hosted sessions, or community events, enabling flexible participation outside typical childcare hours. This pop-up model supports both families and organizations running time-limited activities.",Childcare Access and Affordability,"Mobile and Pop-up Childcare Services: A portable childcare team that sets up pop-up rooms for festivals, community events, or temporary worksite needs, increasing flexibility for families and employers.",Talent and Mobility System Misalignment,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://www.ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
YMCA Financial Assistance for Child Care,YMCA of Greater Halifax/Dartmouth,"The YMCA of Greater Halifax/Dartmouth offers a donor-funded financial assistance program that reduces child care fees for families based on need. As a community-governed, non-profit organization, the YMCA uses this subsidy fund to enable sliding-scale pricing while ensuring providers receive full program revenues to maintain staffing and quality. This top-up support complements any provincial subsidy, bridging remaining gaps so families can access licensed care.",Childcare Access and Affordability,"Sliding-Scale & Community Subsidy Fund: A local subsidy fund, managed by a community board, that top-ups fees for families in need and enables providers to offer sliding-scale pricing while maintaining staff wages.",Talent and Mobility System Misalignment,"5640 Sackville Street, Halifax, NS B3J 1L2",https://ymcahfx.ca,info@ymcahfx.ca,44.6444187,-63.5803731
YMCA Centre for Immigrant Programs – Housing & Settlement Support,YMCA of Greater Halifax/Dartmouth,"The YMCA supports newcomers with tenant‑rights orientation, workshops on leases and repairs, and one‑on‑one coaching to navigate Nova Scotia’s rental system. Settlement staff help mediate misunderstandings with landlords, assist with lease signings and move‑in checklists, and connect clients to community resources to prevent evictions and build housing stability.",Housing Affordability and Supply Constraints,"Tenant Support, Mediation and Education Hubs: Create local hubs offering renters’ rights education, dispute mediation, and move‑in/move‑out assistance to reduce evictions and maintain housing stability for vulnerable residents.",Talent and Mobility System Misalignment,"7071 Bayers Road, Suite 102, Halifax, NS B3L 2C2",https://ymcahfx.ca,immigrants@halifax.ymca.ca,44.6541222,-63.6273462
EXCEL Before & After School Program – Fee Assistance,Halifax Regional Centre for Education (HRCE),"HRCE’s EXCEL program provides supervised, school-based child care before and after school, and offers need-based fee assistance for families facing financial barriers. This assistance functions as a community-managed subsidy within the public education system, allowing sliding-scale access while preserving staffing levels and program quality. By topping up fees, EXCEL helps parents maintain employment and training schedules without providers absorbing revenue shortfalls.",Childcare Access and Affordability,"Sliding-Scale & Community Subsidy Fund: A local subsidy fund, managed by a community board, that top-ups fees for families in need and enables providers to offer sliding-scale pricing while maintaining staff wages.",Talent and Mobility System Misalignment,"33 Spectacle Lake Drive, Dartmouth, NS B3B 1X7",https://www.hrce.ca/excel,excel@hrce.ca,44.7019478,-63.5837496
Tuition Adjustment Program (Early Years & Aftercare),South Shore Waldorf School & Kindergarten,"South Shore Waldorf School & Kindergarten operates a community-supported Tuition Adjustment Program that provides sliding-scale fee reductions for its early childhood programs and aftercare. Governed by a non-profit board, the school leverages donations and community funds to top up operating revenue so educators’ wages and program quality are sustained while reducing family costs. This model directly implements a local subsidy fund that expands access to child care-like hours for young famil...",Childcare Access and Affordability,"Sliding-Scale & Community Subsidy Fund: A local subsidy fund, managed by a community board, that top-ups fees for families in need and enables providers to offer sliding-scale pricing while maintaining staff wages.",Talent and Mobility System Misalignment,"64 School Road, Blockhouse, NS B0J 1E0",https://www.waldorfns.org,info@waldorfns.org,44.4486635,-64.4182256
Canada Games Centre After School Program,Canada Games Centre,"The Canada Games Centre runs a licensed after-school program for elementary students that includes school pick-up, healthy snacks, and daily sport, swim, and recreation activities until 6:00 pm. Situated in a major community recreation facility, families can pair after-school care with evening aquatics and sport programs in the same building, creating seamless coverage beyond the school day. The program coordinates with nearby schools and leverages municipal recreation resources to support pa...",Childcare Access and Affordability,"After-School and Extended-Hours Program Network: Coordinate school, recreation and community centre programs to provide seamless after-school and evening care options that support parents with nonstandard hours.",Talent and Mobility System Misalignment,"26 Thomas Raddall Drive, Halifax, NS B3S 0E2",https://canadagamescentre.ca,info@canadagamescentre.ca,44.6596253,-63.6642854
YMCA Before & After School Child Care (Cape Breton),YMCA of Cape Breton,"The YMCA of Cape Breton delivers before- and after-school child care across multiple school sites and at the downtown YMCA centre, with extended hours and financial assistance available. By operating in schools and at the YMCA facility, families can transition to evening swim lessons, youth clubs, and sport programs without additional travel, effectively linking school, community, and recreation spaces. This coordinated model expands access to reliable care beyond the regular school day for s...",Childcare Access and Affordability,"After-School and Extended-Hours Program Network: Coordinate school, recreation and community centre programs to provide seamless after-school and evening care options that support parents with nonstandard hours.",Talent and Mobility System Misalignment,"399 Charlotte Street, Sydney, NS B1P 1E3",https://www.cbymca.ca,info@cbymca.ca,46.136466,-60.1940452
Newcomer Settlement & Language Services (LINC),YMCA of Cape Breton,"YMCA of Cape Breton provides locally delivered settlement orientation, youth activities, and federally funded LINC English classes in Sydney to help newcomer youth build language skills and navigate school and community life. Staff offer job-readiness support and connect participants with credential resources, mentors, and local employers across Cape Breton, integrating language, employment, and mentorship supports close to where youth live.",Inclusion and Belonging Challenges,"Expanded Settlement and Language Supports: Provide locally delivered language classes, job-readiness training, credential navigation help and newcomer orientation that are tailored to youth needs and connected to schools, employers and mentorship programs.",Talent and Mobility System Misalignment,"399 Charlotte Street, Sydney, NS B1P 1E3",https://www.cbymca.ca,info@cbymca.ca,46.136466,-60.1940452
Pathways to Education Spryfield,Chebucto Connections,"Chebucto Connections’ Pathways to Education Spryfield provides structured after-school tutoring, mentoring, meals, and bus tickets for high school students four evenings per week at the Captain William Spry Community Centre and partner schools. The program works closely with school staff, families, and community organizations to keep youth engaged and supervised into the early evening, complementing daytime schooling and municipal recreation. By extending supports after school and into evenin...",Childcare Access and Affordability,"After-School and Extended-Hours Program Network: Coordinate school, recreation and community centre programs to provide seamless after-school and evening care options that support parents with nonstandard hours.",Talent and Mobility System Misalignment,"531 Herring Cove Road, Halifax, NS B3R 1X3",https://chebuctoconnections.ca/programs/pathways-to-education/,info@chebuctoconnections.ca,44.6009646,-63.6087078
East Hants & Area Family Home Child Care Agency,East Hants Family Resource Centre,"This licensed agency provides a centralized shared-services model for home-based child care providers in East Hants and surrounding communities. It handles compliance oversight with provincial standards, parent referrals and enrollment, training, forms and record-keeping systems, and support with billing and subsidy administration—lowering administrative costs and enabling small providers to add spaces and offer more flexible hours.",Childcare Access and Affordability,"Childcare Shared Services Cooperative: A municipal or community-led shared-services model that centralizes licensing, payroll, procurement, and compliance for small providers to lower admin costs and increase capacity.",Talent and Mobility System Misalignment,"224 Highway 214, Unit 1, Elmsdale, NS B2S 1K1",https://www.ehfrc.ca,info@ehfrc.ca,44.9731806,-63.5074703
Cape Breton Family Home Child Care Agency,Cape Breton Family Place Resource Centre,"Operating as a shared-services framework, this agency centralizes licensing support, ongoing compliance monitoring, family intake and placement, educator recruitment, training, and back-office supports (templates, policies, billing support, and subsidy processing) for multiple small home-based providers. By pooling these administrative functions, it reduces overhead, stabilizes operations, and helps providers increase capacity to meet local demand.",Childcare Access and Affordability,"Childcare Shared Services Cooperative: A municipal or community-led shared-services model that centralizes licensing, payroll, procurement, and compliance for small providers to lower admin costs and increase capacity.",Talent and Mobility System Misalignment,"714 Alexandra Street, Sydney, NS B1S 2H3",https://www.familyplace.ca,info@familyplace.ca,46.1092963,-60.2021224
Pictou County Family Home Child Care Agency,Kids First Association (Pictou County Kids First Family Resource Program),"This agency delivers a shared-services model for independent home child care providers in Pictou County by centralizing regulatory compliance, provider onboarding and training, parent intake and matching, and administrative processes such as invoicing and subsidy coordination. The approach lowers administrative workload and costs for small providers and supports the creation of more regulated spaces with consistent quality.",Childcare Access and Affordability,"Childcare Shared Services Cooperative: A municipal or community-led shared-services model that centralizes licensing, payroll, procurement, and compliance for small providers to lower admin costs and increase capacity.",Talent and Mobility System Misalignment,"110 Provost Street, New Glasgow, NS B2H 2P4",https://www.kids1st.ca,info@kids1st.ca,45.5883331,-62.6444088
Pre-Primary Transportation (HRCE),Halifax Regional Centre for Education,"Halifax Regional Centre for Education provides subsidized busing for eligible children enrolled in the province’s school-based Pre-Primary (early learning) program. By connecting neighborhoods to centralized school hubs that host Pre-Primary classrooms, this service functions as a shuttle to childcare/early learning sites for families who lack convenient transit, reducing access barriers tied to distance and scheduling.",Childcare Access and Affordability,"Community Transportation to Childcare Hubs: Volunteer-driven or subsidized shuttle services connecting residential areas to centralized childcare hubs, improving access for families without convenient transit.",Talent and Mobility System Misalignment,"33 Spectacle Lake Drive, Dartmouth, NS B3B 1X7",https://www.hrce.ca,transportation@hrce.ca,44.7019478,-63.5837496
BGC Greater Halifax After-School Transportation,Boys & Girls Clubs of Greater Halifax,"Boys & Girls Clubs of Greater Halifax operates licensed school-age childcare programs and runs daily bus/van pickups from multiple schools and neighborhood points to its club sites. These runs act as community shuttles to centralized childcare hubs, enabling families—especially those without cars or convenient transit—to reliably access after-school care aligned with parents’ work hours.",Childcare Access and Affordability,"Community Transportation to Childcare Hubs: Volunteer-driven or subsidized shuttle services connecting residential areas to centralized childcare hubs, improving access for families without convenient transit.",Talent and Mobility System Misalignment,"60 Farrell Street, Dartmouth, NS B3A 4B3",https://www.bgcgh.ca,info@bgcgh.ca,44.680079,-63.5865587
YMCA Child Care Transportation (Before & After School),YMCA of Greater Halifax/Dartmouth,"The YMCA of Greater Halifax/Dartmouth operates licensed child care and school-age programs and offers site-specific transportation where available, using YMCA buses/vans to shuttle children from designated schools or pickup points to centralized YMCA childcare hubs. This subsidized, coordinated transport improves access for families with limited transit options and aligns with workday schedules.",Childcare Access and Affordability,"Community Transportation to Childcare Hubs: Volunteer-driven or subsidized shuttle services connecting residential areas to centralized childcare hubs, improving access for families without convenient transit.",Talent and Mobility System Misalignment,"5640 Sackville Street, Halifax, NS B3J 3Y3",https://www.ymcahfx.ca/child-care/,info@ymcahfx.ca,44.6444187,-63.5803731
MusGo Rider Community Transit (Eastern Shore & Musquodoboit Valley),MusGo Rider Cooperative Ltd.,"MusGo Rider is a community, door-to-door transit co-operative offering accessible, pre-booked rides across the Eastern Shore and Musquodoboit Valley. Families use MusGo to reach licensed daycares and early-years centres, effectively creating a community shuttle link between residential areas and childcare hubs; the service is provincially and municipally supported to keep fares affordable.",Childcare Access and Affordability,"Community Transportation to Childcare Hubs: Volunteer-driven or subsidized shuttle services connecting residential areas to centralized childcare hubs, improving access for families without convenient transit.",Talent and Mobility System Misalignment,"71 Park Road, Musquodoboit Harbour, NS B0J 2L0",https://www.musgorider.com,info@musgorider.com,44.7905733,-63.1484557
Kings Point-to-Point Transit (Childcare Access Rides),Kings Point-to-Point Transit Society,"Kings Point-to-Point Transit provides accessible, demand-responsive transportation throughout Kings County, including trips to daycares, family resource centres, and pre-primary sites. By offering affordable, scheduled pickups from home or community points to centralized childcare hubs, it reduces transportation barriers for working families in rural and small-town communities.",Childcare Access and Affordability,"Community Transportation to Childcare Hubs: Volunteer-driven or subsidized shuttle services connecting residential areas to centralized childcare hubs, improving access for families without convenient transit.",Talent and Mobility System Misalignment,"14 Crescent Drive, New Minas, NS B4N 3G7",https://www.kppt.ca,dispatch@kppt.ca,45.0695227,-64.4624508
Intergenerational Programming (Northwood Halifax Campus),Northwood,"Northwood’s Halifax campus runs ongoing intergenerational programming that brings licensed child care centres and early years classes into the residence for weekly shared activities such as story time, music, art and free play. Seniors participate as “grand-friends” alongside early childhood educators, adding caring adults during programming blocks while gaining meaningful social engagement; childcare partners benefit from enriched curriculum and reliable, welcoming community space.",Childcare Access and Affordability,Intergenerational Care Programs: Link seniors' centres and retirement homes with childcare providers for shared programming where elders support children and receive social engagement and modest compensation.,Talent and Mobility System Misalignment,"2615 Northwood Terrace, Halifax, NS B3K 3S5",https://northwood.care,,44.6573421,-63.5919903
Home Care and Transition Support,Northwood,"Northwood’s Home Care team provides in‑home support, light housekeeping, and personal assistance, and their care coordinators help older adults plan and manage transitions, including organizing, packing, and connecting with vetted moving services when downsizing to apartments or supportive housing. By smoothing the move from family homes to smaller, safer units—and ensuring needed safety equipment and modifications are in place at the new residence—Northwood helps free up larger homes for fam...",Housing Affordability and Supply Constraints,"Downsizing Incentives for Seniors: Coordinate community programs that help seniors downsize—providing packing assistance, home modification for safe transitions, and matching smaller units with families—freeing family‑sized homes.",Talent and Mobility System Misalignment,"2615 Northwood Terrace, Halifax, NS B3K 3S5",https://northwood.care,,44.6573421,-63.5919903
Intergenerational Play and Grandfriends (Ocean View),Ocean View Continuing Care Centre,"Ocean View partners with local daycares and Early Years programs to host on-site intergenerational playgroups and recurring grandfriends visits. Residents support ECE-led activities—reading circles, sensory play, and music—providing additional caring adults and a community venue for child care partners, while older adults benefit from purposeful social connection and reduced isolation.",Childcare Access and Affordability,Intergenerational Care Programs: Link seniors' centres and retirement homes with childcare providers for shared programming where elders support children and receive social engagement and modest compensation.,Talent and Mobility System Misalignment,"1907 Caldwell Road, Eastern Passage, NS B3G 1M3",https://oceanv.ca,,44.6044956,-63.467243
Intergenerational Program – Glen Haven Manor,Glen Haven Manor,"Glen Haven Manor’s intergenerational program brings young children from community child care centres into the long-term care home for planned activities including reading, crafts and music. Elders engage as storytellers and play companions alongside early childhood educators, strengthening early learning with additional adult attention while fostering meaningful relationships and social wellness for residents.",Childcare Access and Affordability,Intergenerational Care Programs: Link seniors' centres and retirement homes with childcare providers for shared programming where elders support children and receive social engagement and modest compensation.,Talent and Mobility System Misalignment,"739 East River Road, New Glasgow, NS B2H 3S1",https://www.glenhavenmanor.ca,,45.5748805,-62.6437333
CBDC Hants-Kings – Small Business Financing & Advisory,CBDC Hants-Kings,"CBDC Hants-Kings offers microloans, social enterprise financing, and hands-on business advisory services that help launch and grow childcare ventures across rural and small-town communities. By providing accessible capital, coaching, and training, the program enables community-led and cooperative childcare start-ups to build sustainable operations that emphasize affordability and hire locally.",Childcare Access and Affordability,Local Seed Grants and Social Enterprise Models: Community foundations and municipalities offer seed grants and small-business supports to encourage social-enterprise childcare start-ups that prioritize affordability and local hiring.,Talent and Mobility System Misalignment,"80 Water Street, Windsor, NS B0N 2T0",https://www.cbdc.ca,hantskings@cbdc.ca,44.9950549,-64.1394384
Common Good Solutions – Social Enterprise Incubation & Investment,Common Good Solutions Inc.,"Common Good Solutions supports social enterprise start-ups with training, coaching, and access to impact investment, helping community groups design and launch childcare models that balance financial sustainability with affordability and local employment. Their incubation and advisory services guide founders through business planning, revenue strategies, and measurement of social outcomes, enabling viable, community-anchored childcare solutions.",Childcare Access and Affordability,Local Seed Grants and Social Enterprise Models: Community foundations and municipalities offer seed grants and small-business supports to encourage social-enterprise childcare start-ups that prioritize affordability and local hiring.,Talent and Mobility System Misalignment,"5557 Cunard Street, Halifax, NS B3K 1C5",https://commongoodsolutions.ca,info@commongoodsolutions.ca,44.652856,-63.586588
Town of Truro – Grants to Organizations Program,Town of Truro,"Truro’s Grants to Organizations Program provides small grants to local non-profits for community development projects, which can include starting or expanding affordable, community-run childcare. These seed funds help with early-stage costs, equipment, and pilot initiatives, enabling social-enterprise childcare models that respond to local staffing and access needs while creating jobs for residents.",Childcare Access and Affordability,Local Seed Grants and Social Enterprise Models: Community foundations and municipalities offer seed grants and small-business supports to encourage social-enterprise childcare start-ups that prioritize affordability and local hiring.,Talent and Mobility System Misalignment,"695 Prince Street, Truro, NS B2N 1G5",https://www.truro.ca,finance@truro.ca,45.3653532,-63.280498
Parent Co-operative Childcare Exchange (Chebucto Family Centre),Home of the Guardian Angel (Chebucto Family Centre),"Chebucto Family Centre facilitates a parent-led childcare exchange where families coordinate child-minding swaps, shared nanny schedules, and cooperative care blocks. Parents use shared online calendars and simple scheduling tools to post availability, request coverage, and swap shifts, maximizing existing community capacity and lowering out-of-pocket costs for care.",Childcare Access and Affordability,"Parent Cooperative Scheduling Platform: A community-built scheduling app where parents coordinate shift swaps, shared nanny schedules, and cooperative care blocks to maximize utilization and reduce costs.",Talent and Mobility System Misalignment,"3 Sylvia Avenue, Halifax, NS B3R 1J7",https://www.homeoftheguardianangel.ca,info@homeoftheguardianangel.ca,44.6035474,-63.6110091
Planning & Development – Community Planning and Engagement for Child Care Facilities,Halifax Regional Municipality – Planning & Development,"Halifax Regional Municipality’s Planning & Development department runs ongoing public engagement on municipal strategies and land-use by-laws, gathering families’ input on where child care is needed, operating hours, and barriers to access. Staff analyze licensing data, demographics, and feedback to identify service gaps and propose zoning amendments that enable centres and family home child care in more neighbourhoods, while coordinating with provincial/federal partners on capital funding an...",Childcare Access and Affordability,"Community Advocacy & Planning Forum: A citizen-led forum to gather family voices, map local childcare deserts, and work with municipal planners to secure zoning changes, capital funding, and long-term childcare strategy.",Talent and Mobility System Misalignment,"1841 Argyle Street, Halifax, NS B3J 3A3",https://www.halifax.ca/business/planning-development,contactus@halifax.ca,44.648927,-63.5753248
Planning & Development – Child Care Facility Zoning & Public Engagement,Cape Breton Regional Municipality – Planning & Development,"Cape Breton Regional Municipality’s Planning & Development team consults residents, parents, and child care providers to pinpoint neighbourhoods with limited access and to inform updates to the Municipal Planning Strategy and Land-Use By-law related to child care uses. Through workshops and hearings, they gather family voices, map local gaps alongside community input, and advance zoning changes and site approvals for new or expanded child care spaces, aligning these with infrastructure and fu...",Childcare Access and Affordability,"Community Advocacy & Planning Forum: A citizen-led forum to gather family voices, map local childcare deserts, and work with municipal planners to secure zoning changes, capital funding, and long-term childcare strategy.",Talent and Mobility System Misalignment,"320 Esplanade, Sydney, NS B1P 7B9",https://www.cbrm.ns.ca,planning@cbrm.ns.ca,46.1371609,-60.1960651
Outpatient Specialty Clinics (Visiting Specialists) – Colchester East Hants Health Centre,Nova Scotia Health,"Nova Scotia Health coordinates rotating visiting specialist clinics (such as dermatology, endocrinology, rheumatology, and psychiatry) at the Colchester East Hants Health Centre. Specialists travel from larger centres to run clinics on scheduled days so Truro-area residents can access in-person specialty care locally without traveling to Halifax.",Healthcare Access and Wait Times,"Shared Specialist Visit Days: Organize regular visiting specialist clinics (e.g., psychiatry, dermatology, endocrinology) in community health centres or libraries so residents can see specialists locally on scheduled days.",Talent and Mobility System Misalignment,"600 Abenaki Road, Truro, NS B2N 0G6",https://www.nshealth.ca,patientrelations@nshealth.ca,45.3492392,-63.3034286
Community Mental Health and Addictions – Visiting Psychiatrist Clinics (Eastern Shore),Nova Scotia Health,"Nova Scotia Health’s Community Mental Health and Addictions program provides scheduled in-person psychiatrist days and related specialty consults at Eastern Shore Memorial Hospital. Psychiatrists travel to the community on set clinic dates, giving residents local access to assessments, medication management, and follow-up care that would otherwise require a trip to urban centres.",Healthcare Access and Wait Times,"Shared Specialist Visit Days: Organize regular visiting specialist clinics (e.g., psychiatry, dermatology, endocrinology) in community health centres or libraries so residents can see specialists locally on scheduled days.",Talent and Mobility System Misalignment,"22637 Highway 7, Sheet Harbour, NS B0J 3B0",https://www.nshealth.ca,patientrelations@nshealth.ca,44.9207756,-62.5327695
Hip and Knee Central Intake and Orthopedic Assessment Clinics,Nova Scotia Health,"This program provides a single-entry referral pathway for hip and knee care across Nova Scotia. Coordinators and advanced practice clinicians triage referrals, manage surgeon and clinic waitlists across multiple sites, proactively contact patients about cancellations, and offer transfers to providers with shorter waits. They also connect patients to prehabilitation, physiotherapy, and community resources while they await specialist or surgical care.",Healthcare Access and Wait Times,"Local Specialist Referral Coordination: Volunteer or staff a community-based referral coordinator who follows up on waitlists, seeks cancellations and connects patients to alternate local resources.",Talent and Mobility System Misalignment,"1796 Summer Street, Halifax, NS B3H 3A7",https://www.nshealth.ca,,44.6454617,-63.5871661
Cobequid Community Health Centre,Nova Scotia Health,"A community-based, multi-service health hub that brings primary care, mental health and addictions services, public health, and wellness programs together under one roof. Residents can access primary care screening, counselling, lab services, and health promotion programming in a single, accessible location—reducing wait times and navigation barriers consistent with the community wellness hub model.",Healthcare Access and Wait Times,"Community Wellness Hubs: Convert available municipal or nonprofit space into multi-service hubs offering primary care screening, counselling, social supports, and healthy living programs in one place.",Talent and Mobility System Misalignment,"40 Freer Lane, Lower Sackville, NS B4C 0A2",https://www.nshealth.ca,,44.7569128,-63.6585849
Western Kings Memorial Health Centre,Nova Scotia Health,"This centre functions as a local wellness hub by co-locating a collaborative family practice, mental health and addictions services, public health, and chronic disease management (e.g., diabetes education, nutrition). Community members can receive screening, counselling, social supports, and healthy living classes in one place, improving timely access to care and supports.",Healthcare Access and Wait Times,"Community Wellness Hubs: Convert available municipal or nonprofit space into multi-service hubs offering primary care screening, counselling, social supports, and healthy living programs in one place.",Talent and Mobility System Misalignment,"121 Orchard Street, Berwick, NS B0P 1E0",https://www.nshealth.ca,,45.0369863,-64.7366058
Clare Health Centre (Centre de santé de Clare),Nova Scotia Health,"A bilingual, community health centre that integrates a collaborative family practice with on-site lab services, chronic disease management, dietitian support, and mental health and addictions outreach. By offering coordinated primary care screening, counselling, and wellness programming in one community facility, it operates as a comprehensive wellness hub for residents of Clare and surrounding areas.",Healthcare Access and Wait Times,"Community Wellness Hubs: Convert available municipal or nonprofit space into multi-service hubs offering primary care screening, counselling, social supports, and healthy living programs in one place.",Talent and Mobility System Misalignment,"30 Hôpital Road, Meteghan Centre, NS B0W 2K0",https://www.nshealth.ca,,44.2016645,-66.1424696
Sheet Harbour and Area Primary Health Care Centre,Nova Scotia Health,"A rural multi-service hub that co-locates collaborative family practice, mental health and addictions services, public health, and blood collection, with access to health promotion and navigation supports. The centre enables residents to obtain primary care screening, counselling, and healthy living programs in one accessible site, addressing access and wait-time challenges on the Eastern Shore.",Healthcare Access and Wait Times,"Community Wellness Hubs: Convert available municipal or nonprofit space into multi-service hubs offering primary care screening, counselling, social supports, and healthy living programs in one place.",Talent and Mobility System Misalignment,"22637 Highway 7, Sheet Harbour, NS B0J 3B0",https://www.nshealth.ca,,44.9207756,-62.5327695
Transportation Assistance (Bus Tickets and Vouchers),North End Community Health Centre,"The North End Community Health Centre helps clients overcome cost and mobility barriers by providing transportation assistance—such as bus tickets and taxi vouchers—to get to primary care, mental health, and specialist appointments. Staff and outreach teams coordinate transport supports so patients can arrive on time and maintain continuity of care, directly implementing the transit-voucher component of the solution.",Healthcare Access and Wait Times,Ride & Access Volunteer Program: Create a volunteer driver network and transit vouchers to ensure residents can attend appointments on time and reduce missed care due to transport barriers.,Talent and Mobility System Misalignment,"2165 Gottingen Street, Halifax, NS B3K 3B5",https://nechc.com,info@nechc.com,44.6527462,-63.5842285
Make & Break Space (New Glasgow Library),Pictou-Antigonish Regional Library,"Pictou-Antigonish Regional Library’s Make & Break Space is a community makerspace at the New Glasgow Library with 3D printing, robotics, electronics, and crafting tools. Librarians and community volunteers host workshops and provide guidance so youth, students, and small‑business owners can prototype, tinker, and build practical skills. Serving a rural region outside HRM, it expands access to applied learning and creative technology in Pictou County.",Rural–Urban Opportunity Divide,"Maker Spaces and Applied Skills Labs: Develop community workshops equipped with tools, 3D printers and mentorship where entrepreneurs, students and hobbyists can prototype products and learn technical skills.",Talent and Mobility System Misalignment,"182 Dalhousie Street, New Glasgow, NS B2H 4C7",https://www.parl.ns.ca,,45.5879386,-62.6434641
Lunenburg Library – Digital Literacy and Job Support,South Shore Public Libraries,"Lunenburg Library provides free broadband, public computers, and one‑on‑one tech coaching so residents can access online courses, develop digital skills, and complete remote training and certifications. Through partnerships and in‑library programs, it supports job seekers with resume help, digital tools, and spaces for virtual interviews, connecting learners to opportunities in South Shore’s local industries.",Skills Mismatch and Training Alignment,"Remote Upskilling and Digital Access Centers: Provide community centres with reliable broadband, devices and coaching to enable residents to access online upskilling, virtual co-ops and remote work opportunities tied to local economic needs.",Talent and Mobility System Misalignment,"19 Pelham Street, Lunenburg, NS B0J 2C0",https://www.southshorepubliclibraries.ca,info@ssplibraries.ca,44.3775631,-64.3138547
Group Benefits Solutions for Health & Community Organizations,Health Association Nova Scotia,"Health Association Nova Scotia administers multi-employer group benefits for health and community organizations province-wide, including extended health, dental, vision, life and disability. Employers participate in a large shared-benefits pool that delivers economies of scale and more stable rates, with options to integrate group retirement plans. This cooperative structure enables smaller organizations to offer competitive total compensation to attract and retain staff.",Wage Competitiveness Gap,"Shared Benefits Pool: A cooperative benefits program where small employers band together to offer group dental, vision, or RRSP matching at lower cost, making total compensation more competitive without large payroll increases.",Talent and Mobility System Misalignment,"2 Dartmouth Road, Bedford, NS B4A 2K7",https://www.healthassociation.ns.ca,info@healthassociation.ns.ca,44.7308815,-63.6554408
IWK Mental Health and Addictions – Centralized Access and Intake,IWK Health,"The IWK’s Centralized Access and Intake offers a single point of contact for children, youth, and families to access mental health and addictions services, with referral and booking available by phone and through online forms. The service coordinates triage and schedules the first appointment with the appropriate clinician—either virtually or at community locations—by drawing from openings across IWK programs and partners, improving access and minimizing travel burden.",Healthcare Access and Wait Times,Centralized Community Booking Platform: Develop a user-friendly local appointment hub (phone + online) that aggregates available primary care and mental health slots from participating clinicians to reduce wait and travel.,Talent and Mobility System Misalignment,"5850 University Avenue, Halifax, NS B3K 6R8",https://iwkhealth.ca,,44.6376114,-63.582874
"Mental Health & Addictions Central Referral Service (Children, Youth and Families)",IWK Health,"IWK Health’s central referral service coordinates access to child, youth and family mental health and addictions services across hospital and community partners. Intake clinicians and navigators contact families to screen and prioritize referrals, manage clinic waitlists, and offer appointments including short-notice cancellations. They also connect families to community and school-based supports to bridge care while waiting.",Healthcare Access and Wait Times,"Local Specialist Referral Coordination: Volunteer or staff a community-based referral coordinator who follows up on waitlists, seeks cancellations and connects patients to alternate local resources.",Talent and Mobility System Misalignment,"5850/5980 University Avenue, Halifax, NS B3K 6R8",https://iwkhealth.ca,,44.6378638,-63.5837315
IWK Health – Clinical Learning and Practice Development,IWK Health,"IWK Health partners with Dalhousie University and other Atlantic Canadian schools to host nursing, medical, and allied health student placements across women’s, children’s, and mental health services. Through supervised clinical experiences, learners contribute to service delivery today while IWK builds a talent pipeline to recruit future clinicians to Nova Scotia.",Healthcare Access and Wait Times,"Clinical Placement Partnerships with Universities: Partner with nearby nursing and medical schools to host student placements locally, expanding supervised workforce capacity and building future recruitment pipelines.",Talent and Mobility System Misalignment,"5850 University Avenue, Halifax, NS B3K 6R8",https://iwkhealth.ca,,44.6376114,-63.582874
