Program,Organization,Description,Challenge,Solution,Theme,Address,Website,Email,Latitude,Longitude
Kings 2050 – Community Charrettes and Growth Centre Design Guidelines,Municipality of the County of Kings – Planning & Development,"The Municipality of the County of Kings conducted multi-day community design charrettes across its Growth Centres (e.g., New Minas, Canning) to co-create small-scale densification scenarios and main-street infill options. The adopted secondary plans and design guidelines translate this input into clear, form-based standards for accessory/secondary suites, duplexes/triplexes and townhouses, enabling as‑of‑right approvals that add housing while reducing NIMBY friction through shared, illustrate...",Housing Affordability and Availability,"Neighborhood Densification Charrettes and Design Guides: Host local design charrettes to identify low-impact densification opportunities (laneway homes, triplexes) and produce community-backed design guides to speed approvals and reduce NIMBY resistance.",Negative Narrative and Perception Trap,"181 Coldbrook Village Park Drive, Coldbrook, NS B4R 1B9",https://www.countyofkings.ca,planning@countyofkings.ca,45.07011,-64.5622267
Habitat for Humanity Nova Scotia — Volunteer Build Program,Habitat for Humanity Nova Scotia,"Habitat for Humanity Nova Scotia organizes volunteer build crews—often including trades students from NSCC and local universities—who work alongside experienced staff and trades professionals to construct and, when suitable, rehabilitate homes. By leveraging community volunteers and student placements, the program increases the supply of safe, energy‑efficient, entry-level affordable homes for families across the province. These supervised builds and rehabs both expand affordable housing stoc...",Housing Affordability and Availability,"Volunteer Rehab and Skills-Training Crews: Create volunteer teams combining trades students and community volunteers to renovate vacant or substandard units, pairing skill-building opportunities with increases in safe, affordable housing stock.",Negative Narrative and Perception Trap,"81 Wright Avenue, Dartmouth, NS B3B 1H4",https://www.habitatns.ca,info@habitatns.ca,44.7050784,-63.5968992
Matched Savings and Financial Empowerment Programs,YWCA Halifax,"YWCA Halifax runs group-based financial empowerment and matched-savings initiatives that help women and gender-diverse participants set savings goals, build peer support, and receive matched funds for education, training, or employment needs. These programs function as cooperative savings models, enabling participants to accumulate small savings and access low- or no-cost funds for tuition, certification, or emergencies in place of high-interest credit.",Affordable Post-Secondary and Student Debt,"Peer Savings Groups and Cooperative Finance Models: Promote rotating savings and credit associations (ROSCA), cooperative banking products, and credit-union partnerships that enable small-scale savings and emergency lending without high interest.",Negative Narrative and Perception Trap,"358 Herring Cove Road, Halifax, NS B3R 1V8",https://www.ywcahalifax.com,info@ywcahalifax.com,44.6122376,-63.6172244
Intergenerational Play and Childminding,Cape Breton Family Place Resource Centre,"Family Place offers free parent programs, workshops, and employment supports with on‑site childminding and early learning. Many activities are supported by older adult volunteers and retired caregivers who provide warm, supervised engagement for children, creating intergenerational care that enables parents—especially newcomers and single parents—to attend classes, appointments, or work‑search activities.",Access to Childcare and Family Supports,"Intergenerational Care Programs: Match seniors and older volunteers with families so seniors provide part-time supervised care and engagement, offering companionship for elders and reliable support for parents.",Negative Narrative and Perception Trap,"106 Townsend Street, Sydney, NS B1P 5E2",https://www.familyplace.ca,info@familyplace.ca,46.1347548,-60.1920527
Truro Business Parks (Truro Business Park and Truro Industrial Park),Town of Truro,"The Town of Truro offers serviced, pre‑zoned lots in its business parks, with established development standards and as‑of‑right permissions that minimize the need for rezonings or development agreements. By banking and preparing land in advance, the program shortens approval timelines and reduces costs for startups and growing companies.",Regulatory and Permitting Friction,"Pre‑Zoned Community Land Bank: Create a community land trust that acquires and holds lots pre‑zoned for affordable housing, small businesses or renewable installations, reducing time spent rezoning and permitting.",Negative Narrative and Perception Trap,"695 Prince Street, Truro, NS B2N 1G2",https://www.truro.ca,info@truro.ca,45.3653532,-63.280498
Flood Risk Mapping & Public Education,Town of Truro,"The Town of Truro maintains Salmon River floodplain maps and an online viewer and augments them with resident-reported flooding hotspots gathered through public meetings and service requests to identify high‑risk streets, basements, and access routes. The Town provides printed and online homeowner guides, development checklists, and emergency detour information so residents, prospective homebuyers, and insurers can assess parcel‑level flood risk and understand mitigation and adaptation measures.",Climate Risks and Coastal Vulnerability,"Community flood mapping and risk communication: Volunteer-driven mapping of high-risk streets, basements and access routes combined with clear, locally distributed guidance so residents, prospective homebuyers and insurers understand true risk and adaptation options.",Negative Narrative and Perception Trap,"695 Prince Street, Truro, NS B2N 1G5",https://www.truro.ca,info@truro.ca,45.3653532,-63.280498
Flood Monitoring and Alerting System,Town of Truro,"The Town of Truro operates a local monitoring network with river stage gauges on the Salmon River and shares real-time levels and flood risk updates through public web dashboards and alerts. This open data helps residents prepare for flood events and supports municipal planning and infrastructure decisions, reducing risk in a community highly exposed to storm-driven flooding.",Climate Risks and Coastal Vulnerability,"Local monitoring network and data sharing: Volunteer-operated sensors and shoreline change monitoring with open data dashboards to inform local planning, insurance underwriting and timely warnings for residents.",Negative Narrative and Perception Trap,"695 Prince Street, Truro, NS B2N 1G5",https://www.truro.ca,info@truro.ca,45.3653532,-63.280498
Town of Truro Strategic Plan 2023–2026,Town of Truro,"Truro’s four-year strategic plan establishes measurable objectives for workforce and population growth, downtown revitalization, active transportation, recreation, and service improvements that directly support youth retention and quality of life. The town conducts regular progress updates and collaborates with regional partners (e.g., County of Colchester, post-secondary institutions, and the Province) to coordinate implementation beyond election cycles and maintain accountability.",Governance Fragmentation and Coordination Silos,"Multi-Year Community Development Plans: Develop 3–5 year plans led by communities that set measurable goals for youth retention, skills development, and quality-of-life improvements; these plans include check-in milestones to extend planning horizons beyond election cycles and create continuity across governments.",Negative Narrative and Perception Trap,"695 Prince Street, Truro, NS B2N 1G5",https://www.truro.ca,town@truro.ca,45.3653532,-63.280498
Learner Sponsorship and Return‑of‑Service Bursaries,Nova Scotia Health,"Nova Scotia Health offers bursaries and sponsorships that cover tuition or repay student costs for in‑demand health professions (e.g., medical laboratory technologists, diagnostic imaging, respiratory therapy), tied to signed multi‑year return‑of‑service commitments in the provincial health system. These incentives function as loan‑for‑service supports by offsetting student debt in exchange for working in priority roles and locations.",Affordable Post-Secondary and Student Debt,"Loan-for-Service and Local Loan Forgiveness Programs: Set up community or municipal programs that forgive or repay portions of student debt in exchange for multi-year service in schools, healthcare, emergency services, or other priority local workplaces.",Negative Narrative and Perception Trap,"1799 Robie Street, Halifax, NS B3H 3K2",https://www.nshealth.ca,learners@nshealth.ca,44.6460842,-63.5879843
Clinical Learner Travel and Accommodation Support,Nova Scotia Health,"Nova Scotia Health offers travel and accommodation reimbursements for health‑profession students completing clinical placements in regional and rural facilities across the province. Support helps cover mileage, temporary housing, and transit so learners can train in communities beyond Halifax without personal financial strain. This reduces mobility barriers and encourages youth to pursue in-demand health careers while experiencing opportunities in different Nova Scotia regions.",Transportation and Regional Connectivity,"Mobility Scholarships and Travel Stipends for Youth: Establish small community funds that provide travel grants or transit subsidies for young people pursuing internships, apprenticeships, or cultural opportunities in other towns — reducing mobility barriers that otherwise force relocation.",Negative Narrative and Perception Trap,"90 Lovett Lake Court, Halifax, NS B3S 0H6",https://www.nshealth.ca,learners@nshealth.ca,44.6439029,-63.6600985
TeleHealthNS – Yarmouth Regional Hospital Site,Nova Scotia Health,"TeleHealthNS provides private, internet-enabled rooms equipped with secure video conferencing so patients can connect with specialists and primary care providers without having to travel long distances. At the Yarmouth Regional Hospital site, hospital staff help patients check in, set up the connection, and ensure clinical peripherals (e.g., digital stethoscopes, cameras) work during the appointment—delivering exactly the kind of assisted telehealth kiosk experience needed in rural areas.",Rural Broadband and Digital Infrastructure,"Telehealth and Remote-Service Kiosks: Set up private, internet-enabled kiosks at clinics, community centres or libraries where residents can connect to telehealth providers, employment services or government portals with on-site assistance as needed.",Negative Narrative and Perception Trap,"60 Vancouver Street, Yarmouth, NS B5A 2P5",https://www.nshealth.ca,,43.8503694,-66.1215607
TeleHealthNS – Inverness Consolidated Memorial Hospital Site,Nova Scotia Health,"TeleHealthNS operates a dedicated telehealth room at the Inverness Consolidated Memorial Hospital, providing a private, internet-enabled space for patients to connect with distant providers. Clinical and administrative staff offer on-site assistance before and during sessions, effectively delivering a kiosk-style service that bridges broadband and distance barriers in rural Cape Breton.",Rural Broadband and Digital Infrastructure,"Telehealth and Remote-Service Kiosks: Set up private, internet-enabled kiosks at clinics, community centres or libraries where residents can connect to telehealth providers, employment services or government portals with on-site assistance as needed.",Negative Narrative and Perception Trap,"35 James Street, Inverness, NS B0E 1N0",https://www.nshealth.ca,,46.2275206,-61.3068208
Provincial Supply Chain (Procurement) for Health Services,Nova Scotia Health,"Nova Scotia Health operates a shared provincial supply chain and procurement function that consolidates purchasing for hospitals and health facilities across the province, often coordinating with IWK and group purchasing while also running provincial RFPs and standing offers. By combining the demand of many sites and using regional lots and multi‑year agreements, the program creates predictable institutional contracts that small Nova Scotia suppliers can service without marketing to each faci...",Barriers to Entrepreneurship and Access to Capital,"Local Procurement Consortia: Form buyer consortia of schools, health centres and municipalities to aggregate demand and create predictable contracts that make it easier for small local suppliers to win work.",Negative Narrative and Perception Trap,"90 Lovett Lake Court, Beechville, NS B3T 0H1",https://www.nshealth.ca,,44.6376242,-63.6783618
Social Work & Community Outreach,North End Community Health Centre,"NECHC’s social workers and outreach staff help residents—especially marginalized youth, newcomers, and people experiencing homelessness—navigate the health and social service systems. They book primary care and specialist appointments, explain referrals and care plans, support completion of medical and income-support forms, and connect clients to community resources and transportation options to attend care.",Healthcare and Mental Health Access,"Community health navigator program: Local volunteers and social-service workers help residents—especially youth and newcomers—book appointments, understand referrals, complete intake forms, and connect to community resources and transportation options.",Negative Narrative and Perception Trap,"2165 Gottingen Street, Halifax, NS B3K 3B5",https://nechc.com,info@nechc.com,44.6527462,-63.5842285
Summer Student Employment (Programs and Community Outreach),Cape Breton Regional Library,"Cape Breton Regional Library employs students in paid positions to deliver children’s reading clubs, digital literacy workshops, community outreach, and local history projects across its branches. Working at the library embeds youth in civic life, builds leadership and service skills, and highlights public-sector and cultural careers that contribute directly to community well-being.",Brain Drain to Larger Markets and Remote Employers,"Civic Learning & Community Service Pathways: Create paid youth positions in municipal projects, cultural organizations and non-profits to build local leadership, deepen civic ties, and demonstrate viable careers that contribute to community life.",Negative Narrative and Perception Trap,"50 Falmouth Street, Sydney, NS B1P 6X9",https://cbrl.ca,info@cbrl.ca,46.1356139,-60.1934179
Continuing Care Recruitment & Retention Services,Health Association Nova Scotia,"Health Association Nova Scotia provides shared recruitment and onboarding services for a consortium of long-term care and home care employers that pool membership resources. The program coordinates province-wide hiring fairs, centralized screening, and standardized training/orientation (e.g., for CCAs) while arranging practical placements across member facilities to accelerate hiring and reduce costs for individual organizations.","Workforce Shortages in Care, Construction, and Skilled Trades","Employer Training Consortium: Form a cooperative of local employers that pools funds and staff time to run shared training programs, rotating placements, and joint hiring fairs to reduce individual costs.",Negative Narrative and Perception Trap,"2 Dartmouth Road, Bedford, NS B4A 2K7",https://www.healthassociation.ns.ca,info@healthassociation.ns.ca,44.7308815,-63.6554408
More Than Medicine (Health-Care Talent Attraction),Nova Scotia Health,"Nova Scotia Health’s “More Than Medicine” campaign markets the province’s lifestyle, communities, and career growth stories to recruit and retain health professionals, residents, and students. The initiative combines compelling place-based narratives with employer outreach and relocation support, framing Nova Scotia as a rewarding place to build a life and career—directly countering brain drain in a critical sector.",Brain Drain to Larger Markets and Remote Employers,"Place-Based Branding & Talent Campaigns: Develop community-led marketing that highlights local quality of life, career success stories and cultural strengths to reframe the region as an attractive long-term home for young people.",Negative Narrative and Perception Trap,"1276 South Park Street, Halifax, NS B3H 2Y9",https://recruitment.nshealth.ca,careers@nshealth.ca,44.6379204,-63.5800467
Early Childhood Education Centre (ECEC) and Community Hub,The North Grove,"The North Grove combines a licensed Early Childhood Education Centre with a community hub that offers work-friendly spaces, Wi‑Fi, and program rooms used for employment, training, and entrepreneurship supports. Parents can place their children in affordable, licensed childcare on-site while they work remotely, attend virtual meetings, job search, or join skills programs in the same building—delivering a practical hybrid work hub with childcare that reduces the need to commute or relocate.",Brain Drain to Larger Markets and Remote Employers,Hybrid Work Hubs with Childcare: Combine co-working facilities with affordable childcare and family-friendly hours so young parents can pursue remote or local work without relocating for better services.,Negative Narrative and Perception Trap,"6 Primrose Street, Dartmouth, NS B3A 4C5",https://thenorthgrove.ca,info@thenorthgrove.ca,44.6814085,-63.5860545
Maritime Bus Charters (Event Shuttles),Maritime Bus,"Maritime Bus provides chartered coaches and pop-up shuttle services for festivals, tournaments, and seasonal workforce needs across Nova Scotia, creating temporary links between smaller towns and event/job sites. These on-demand, short-term shuttles help organizers move people safely and efficiently while demonstrating intercommunity demand that can inform permanent intercity service planning.",Transportation and Regional Connectivity,"Pop-up Event and Seasonal Shuttles: Organize temporary shuttles for festivals, market days, and seasonal employment peaks that connect isolated communities to cultural and job opportunities, demonstrating demand and building case studies for permanent services.",Negative Narrative and Perception Trap,"604 Marginal Road, Halifax, NS B3H 4P7",https://www.maritimebus.com,charters@maritimebus.com,44.6369711,-63.5661922
Maritime Bus Online Booking and E‑Tickets,Maritime Bus,"Maritime Bus operates the intercity coach network across Nova Scotia and the Maritimes, offering online schedules, mobile-friendly booking, and e‑tickets that simplify longer, multi‑leg travel. By centralizing intercity trip information and fare purchases, it complements local transit and ferry services, helping riders connect rural and urban destinations for work, education, and culture.",Transportation and Regional Connectivity,"Integrated Mobility Info and Ticketing App: Develop a community-backed transit information portal and ticketing system that aggregates schedules, real-time updates, ride-matching, and fare purchases for shuttles, buses, ferries and microtransit, lowering friction for multi-leg journeys across providers.",Negative Narrative and Perception Trap,"6040 Almon Street, Halifax, NS B3K 1T8",https://www.maritimebus.com,info@maritimebus.com,44.6569914,-63.5992358
Diversity and Inclusion Committee,Town of Bridgewater,"Bridgewater’s Diversity and Inclusion Committee is a resident-based advisory body that guides the Town’s Diversity & Inclusion Strategy and action plans. It reviews municipal policies and services for equity impacts, proposes policy improvements to address racism and systemic barriers, partners with local organizations to deliver community education on inclusion and anti-racism, and tracks progress for Council to ensure accountability.","Inclusion, Racism, and Systemic Barriers","Community Anti-Racism & Inclusion Task Force: Create a citizen-led task force made up of representatives from Black, Mi’kmaq, newcomer, 2SLGBTQIA+, disability and youth communities to audit local institutions, propose policy changes, coordinate community education, and monitor progress on inclusion goals.",Negative Narrative and Perception Trap,"60 Pleasant Street, Bridgewater, NS B4V 3X9",https://www.bridgewater.ca,info@bridgewater.ca,44.3755744,-64.5223664
Community Internet Services and Equipment Support,Chebucto Community Net Society,"Chebucto Community Net is a non-profit community ISP that aggregates local subscribers to offer low-cost internet plans and provides guidance and access to compatible modems/routers sourced at scale. By coordinating member sign‑ups and facilitating bulk procurement of home connectivity equipment at cost, Chebucto reduces per-household expenses and supports wider adoption of reliable home internet in the Halifax area.",Rural Broadband and Digital Infrastructure,"Bulk Purchasing Programs for Home Connectivity and Devices: Organize cooperative buying programs so households can purchase routers, extenders, antennas or low-cost ISP plans in bulk to lower per-unit costs and speed adoption. Local businesses or the municipality can coordinate procurement and distribution.",Negative Narrative and Perception Trap,"6135 University Avenue, Halifax, NS B3H 4R2",https://www.chebucto.ns.ca,office@chebucto.ns.ca,44.6376163,-63.5899417
Study Rooms and Technology Lending,Colchester-East Hants Public Library,"Colchester-East Hants Public Library’s Truro Library provides free, reservable study rooms, strong Wi‑Fi, and public computers, creating a private, secure setting for telehealth sessions. Library staff assist with setting up video calls and basic troubleshooting, and the system offers loanable tech (such as hotspots/tablets where available), helping patrons overcome privacy and device barriers to attend virtual medical or counselling appointments.",Healthcare and Mental Health Access,"Telehealth access hubs in libraries and community centres: Public spaces provide private booths, reliable internet, device loans, and staff assistance so people can attend virtual medical or counselling appointments without technology or privacy barriers.",Negative Narrative and Perception Trap,"Truro Public Library, 754 Prince Street, Truro, NS B2N 1G9",https://www.cehpubliclibrary.ca,info@cehpubliclibrary.ca,45.3640087,-63.2787628
Borrow a Wi‑Fi Hub and Tech Help by Appointment,Colchester-East Hants Public Library,"Colchester-East Hants Public Library lends Wi‑Fi hotspot devices and provides one-on-one technology help sessions supported by trained staff and volunteers. Residents can receive step-by-step assistance to connect and secure home networks, set up routers and Wi‑Fi extenders, and troubleshoot connectivity issues, including help getting loaned hotspots working. By pairing connectivity tools with community tech stewards, the library lowers barriers for people with limited technical skills in rur...",Rural Broadband and Digital Infrastructure,"Volunteer Digital Stewards and Installation Teams: Train local volunteers to help neighbours install routers, set up Wi‑Fi extenders, configure secure home networks and maintain local wireless hotspots. This lowers barriers for older residents and those with limited technical skills.",Negative Narrative and Perception Trap,"754 Prince Street, Truro, NS B2N 1G9",https://www.cehpubliclibrary.ca,info@cehpubliclibrary.ca,45.3640087,-63.2787628
Kings 2050 Inter‑Municipal Planning Initiative,Municipality of the County of Kings,"Kings 2050 is a collaborative planning framework among the Municipality of the County of Kings and the Towns of Kentville, Wolfville, and Berwick to align municipal planning strategies, land-use bylaws, and growth management. The initiative standardizes definitions and development standards and has engaged local business and community associations to streamline permitting, making approvals more predictable and consistent across municipal boundaries in the Valley region.",Regulatory and Permitting Friction,"Cross‑Municipal Community Coalition: Form a coalition of neighbourhood associations and chambers of commerce across nearby municipalities to jointly advocate for aligned bylaws, standard forms and reciprocal permitting practices.",Negative Narrative and Perception Trap,"181 Coldbrook Village Park Drive, Coldbrook, NS B4R 1B9",https://www.countyofkings.ca,planning@countyofkings.ca,45.07011,-64.5622267
Building Futures for Youth (BFY),"Construction Association of Nova Scotia (with Nova Scotia Apprenticeship Agency, NSCC, and education partners)","BFY is a province-wide partnership that convenes employers, high schools, the Nova Scotia Apprenticeship Agency, NSCC, and government to identify construction-sector skill needs and create clear pathways from school to apprenticeship. Through regional planning roundtables, partners align safety and job-readiness training, co-design work experiences, and employers commit to paid summer placements that often transition into apprenticeship; results and student outcomes are tracked to refine trai...",Skills Mismatch and Training Pathways,"Community Employer-Education Roundtables: Regular local roundtables where employers, high schools, community colleges, universities, and training providers map current and emerging skill needs, co-design curricula, and commit to concrete co-op/apprenticeship slots. The community organizes and documents outcomes so training aligns to local demand.",Negative Narrative and Perception Trap,"134 Eileen Stubbs Avenue, Unit 103, Dartmouth, NS B3B 2C8",https://www.buildingfutures.ca,info@cans.ns.ca,44.700198,-63.5794894
Faculty of Computer Science External Advisory Council and Co-op Employer Roundtables,"Dalhousie University, Faculty of Computer Science","Dalhousie’s Faculty of Computer Science convenes an External Advisory Council and recurring employer roundtables that include tech companies, startup leaders, and public-sector employers to map evolving competencies in fields like AI, cybersecurity, and data science. Feedback directly shapes course content and new credentials while employers commit to specific co-op and internship placements through the faculty’s co-op office; meeting outcomes and curriculum changes are documented and reviewe...",Skills Mismatch and Training Pathways,"Community Employer-Education Roundtables: Regular local roundtables where employers, high schools, community colleges, universities, and training providers map current and emerging skill needs, co-design curricula, and commit to concrete co-op/apprenticeship slots. The community organizes and documents outcomes so training aligns to local demand.",Negative Narrative and Perception Trap,"6050 University Avenue, Halifax, NS B3H 1W5",https://www.dal.ca/faculty/computerscience.html,fcsinfo@dal.ca,44.6375234,-63.5872235
Saint Mary’s University Micro-credentials,Saint Mary’s University (Continuing Education / Executive & Professional Development),"Saint Mary’s University offers micro-credentials through Continuing Education and Executive & Professional Development that target in-demand skills in business analysis, digital marketing, data, and leadership. Programs are created with employer advisory input from the Halifax region, produce verifiable digital badges, and are designed to be stackable toward advanced certificates, helping local businesses hire for proven, job-ready competencies.",Skills Mismatch and Training Pathways,"Local Industry Micro‑credential Program: A community-managed stackable micro‑credential initiative developed with local businesses to certify specific, job‑ready skills (short courses, badges) that employers recognize and prioritize for hiring and promotions.",Negative Narrative and Perception Trap,"923 Robie Street, Halifax, NS B3H 3C3",https://www.smu.ca/continuingstudies/micro-credentials.html,epd@smu.ca,44.6313165,-63.5816691
SMU Entrepreneurship Centre – Student Employment Program (RBC Talent Fund),Saint Mary’s University Entrepreneurship Centre,"The SMU Entrepreneurship Centre brokers short-term internships and co-op-style placements for students with startups and SMEs across Nova Scotia, providing hands-on coordination from employer matching to onboarding. Through the RBC Talent Fund and related supports, the Centre offsets wages/stipends for small employers and delivers training and mentorship to students—operating as a shared WIL hub that makes placements financially and operationally feasible for local businesses.",Skills Mismatch and Training Pathways,"Shared Work‑Integrated Learning (WIL) Hub: A municipal or non-profit run hub that brokers co-op, internship and apprenticeship placements among small employers, provides placement coordination, onboarding support, and small-stipend funding to make placements viable for local businesses.",Negative Narrative and Perception Trap,"923 Robie Street, Halifax, NS B3H 3C3",https://smuec.ca,smuec@smu.ca,44.6313165,-63.5816691
Acadia Co-operative Education Program,Acadia University,"Acadia’s Co-op Program brokers paid work terms with employers across Nova Scotia—including many small businesses—by recruiting candidates, facilitating interviews, and coordinating learning objectives and onboarding. The program advises employers on wage-subsidy options (e.g., CEI/SWPP) and provides ongoing support to ensure high-quality placements, operating as a centralized WIL conduit that aligns student skills with real workplace needs.",Skills Mismatch and Training Pathways,"Shared Work‑Integrated Learning (WIL) Hub: A municipal or non-profit run hub that brokers co-op, internship and apprenticeship placements among small employers, provides placement coordination, onboarding support, and small-stipend funding to make placements viable for local businesses.",Negative Narrative and Perception Trap,"15 University Avenue, Wolfville, NS B4P 2R6",https://co-op.acadiau.ca,coop@acadiau.ca,45.0891388,-64.3669857
Trade Qualifier and Prior Learning Assessment,"Nova Scotia Apprenticeship Agency (Department of Labour, Skills and Immigration)","The Nova Scotia Apprenticeship Agency assesses prior work experience and competencies through the Trade Qualifier route, scheduling assessment days and practical exams so experienced workers and newcomers can challenge certification. Recognized hours and successful assessments lead to provincial trade certification or direct entry into apprenticeship, credentials that employers across Nova Scotia accept.",Skills Mismatch and Training Pathways,"Recognition of Prior Learning (RPL) Clinics: Community centers offering regular RPL workshops and assessment days to help young people and newcomers convert informal, volunteer, or on-the-job experience into recognized credentials that local employers accept.",Negative Narrative and Perception Trap,"2021 Brunswick Street, Halifax, NS B3J 2S9",https://www.nsapprenticeship.ca,apprenticeship@novascotia.ca,44.6520988,-63.5789365
Discovery on the Go (Outreach),Discovery Centre,"Discovery Centre’s mobile outreach team brings portable maker and digital media kits—such as robotics, circuits, 3D design, and coding activities—to libraries, schools, and community hubs throughout rural Nova Scotia. These short, facilitated sessions provide hands-on, near-to-home training that strengthens digital literacy and creative tech skills, helping youth explore pathways into technology and creative industries.",Skills Mismatch and Training Pathways,"Mobile Training and Maker Labs: A traveling training unit or pop-up maker lab that brings hands-on, short-term training (e.g., welding, coding bootcamps, digital media) to rural communities, lowering barriers to accessing in-demand skills nearby.",Negative Narrative and Perception Trap,"1215 Lower Water Street, Halifax, NS B3J 3S8",https://thediscoverycentre.ca,info@thediscoverycentre.ca,44.6416898,-63.5678259
Discovery Centre After-School STEAM Club,Discovery Centre,"Discovery Centre runs supervised, hands-on after-school clubs that immerse youth in science, technology, engineering, arts, and math through coding, robotics, maker projects, and design challenges. Staff and volunteer mentors provide guidance and role modelling, offering a structured, skill-focused environment that supports families by engaging older children into the early evening.",Access to Childcare and Family Supports,"After-School Skills and Mentorship Programs: Community-run after-school programs that combine supervision with trades, arts or tech mentorship, keeping older children engaged while parents work or study.",Negative Narrative and Perception Trap,"1215 Lower Water Street, Halifax, NS B3J 3S8",https://thediscoverycentre.ca,info@thediscoverycentre.ca,44.6416898,-63.5678259
Co-operative Education Incentive (CEI),"Nova Scotia Department of Labour, Skills and Immigration","The Co-operative Education Incentive provides wage subsidies to employers that hire co-op students from Nova Scotia post-secondary institutions. By cost-sharing student wages, the program effectively matches employer contributions to create paid placements, reducing the financial barrier for SMEs and nonprofits. This matching approach expands the number of quality co-op opportunities and aligns student skills with employer needs.",Skills Mismatch and Training Pathways,"Employer-Funded Stipend Matching Pool: A community-managed fund that matches small employer contributions to provide stipends for co-op students and apprentices, making placements financially sustainable for businesses and accessible to youth.",Negative Narrative and Perception Trap,"1505 Barrington Street, Halifax, NS B3J 3K5",https://novascotia.ca,cei@novascotia.ca,44.6445647,-63.5723991
Nova Scotia Works – Opportunity Place Resource Association,Opportunity Place Resource Association (Nova Scotia Works),"This Nova Scotia Works centre offers a one-stop hub in Dartmouth (with virtual access) where youth and jobseekers explore local career pathways, get personalized career counselling, and connect to employers posting real-time openings. Staff support applications to apprenticeships/co-ops, help clients access training and wage subsidies, and guide them to short courses and micro-credentials aligned with regional employer needs.",Skills Mismatch and Training Pathways,"Local Career Navigation Centers: One-stop community centers (physical + virtual) that help youth explore local career pathways, apply for co-ops/apprenticeships, access training funds, and connect to employers with real-time openings and micro-credential options.",Negative Narrative and Perception Trap,"33 Ochterloney Street, Suite 210, Dartmouth, NS B2Y 4P5",https://opportunityplace.ca,info@opportunityplace.ca,44.6663207,-63.5691825
Nova Scotia Works Labour Market Information and Job Board,"Nova Scotia Department of Labour, Skills and Immigration (Nova Scotia Works)","Nova Scotia Works maintains a province-wide, publicly accessible job board and labour market information hub that aggregates real-time vacancies, highlights in-demand occupations, and surfaces the top skills employers are seeking across regions. The dashboard and reports are used by community partners and training providers to align programs with short- and long-term employer needs, helping students and job seekers choose pathways that match projected vacancies and priority skills.",Skills Mismatch and Training Pathways,"Community Skills Forecast and Vacancy Board: A publicly accessible local dashboard maintained by community partners showing short-term and long-term employer needs, projected vacancies, and priority skills — used to guide training providers and student choices.",Negative Narrative and Perception Trap,"5151 Terminal Road, Halifax, NS B3J 2T8",https://novascotiaworks.ca,,44.6410933,-63.568792
Management Without Borders (MWB),"Dalhousie University, Faculty of Management","Dalhousie University’s Management Without Borders is a for-credit, interdisciplinary project course where graduate students collaborate with external organizations to solve real management, policy, and community challenges. Client partners from business, government, and non-profits co-define deliverables, ensuring students apply classroom learning to practical needs that employers value.",Skills Mismatch and Training Pathways,"School-Enterprise Project Partnerships: Programs where schools partner with local businesses and non-profits on real projects (product design, service delivery, community events) that count for credit and provide tangible experience employers value.",Negative Narrative and Perception Trap,"6100 University Avenue, Halifax, NS B3H 4R2",https://www.dal.ca/faculty/management.html,,44.6370686,-63.5882484
NSCAD Design Studio Client Projects,NSCAD University,"NSCAD University’s design studio courses regularly engage students in client-based projects for local companies, social enterprises, and arts organizations, with outcomes such as visual identities, product concepts, and campaign assets. These engagements are structured for academic credit, aligning design curriculum with real market briefs and professional workflows.",Skills Mismatch and Training Pathways,"School-Enterprise Project Partnerships: Programs where schools partner with local businesses and non-profits on real projects (product design, service delivery, community events) that count for credit and provide tangible experience employers value.",Negative Narrative and Perception Trap,"5163 Duke Street, Halifax, NS B3J 3J6",https://nscad.ca,admissions@nscad.ca,44.6486146,-63.577353
Community Studio Residency Program,NSCAD University,"NSCAD University places recent graduates and practicing artists as community artists-in-residence in towns across Nova Scotia, where they deliver workshops, class visits, and collaborative projects with local schools, libraries, and community centres. Residents receive studio space and paid opportunities to teach, mentor youth, and run public programs, directly generating income for artists while expanding arts access. The program strengthens local cultural ecosystems and connects young peopl...","Support for Arts, Culture, and Creative Industries","Artist-Teacher and Artist-in-Residence Partnerships: Place practicing artists in schools, libraries, and community centers for residencies that offer paid teaching, public workshops, and collaborative community projects. This creates income for artists, arts exposure for youth, and stronger community ties to creative practice.",Negative Narrative and Perception Trap,"5163 Duke Street, Halifax, NS B3J 3J6",https://nscad.ca,info@nscad.ca,44.6486146,-63.577353
Ready2Launch,Dal Innovates (Dalhousie University),"Ready2Launch is Dal Innovates’ summer accelerator that pays student teams to work full-time on building their ventures while receiving mentorship, structured workshops, and access to university co-working and prototyping resources. The paid work-study model provides practical startup experience and industry-recognized work-integrated learning, directly addressing skills mismatches and easing school-to-work transitions.",Skills Mismatch and Training Pathways,"Youth Entrepreneurship Incubator with Work-Study: A community incubator that supports young entrepreneurs with mentoring, space, and short-term paid work-study placements within startups, combining entrepreneurial skill-building with workplace experience recognized by local industry.",Negative Narrative and Perception Trap,"6299 South Street, Halifax, NS B3H 4R2",https://dalinnovates.ca/ready2launch,dalinnovates@dal.ca,44.6361402,-63.593144
